,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
370,Doug McDermott,.598,.242,.126,.093,.137,.402,.757,.982,.019,.282
197,Draymond Green,.685,.488,.144,.023,.029,.315,.618,.960,.061,.093
187,Drew Gooden,.602,.243,.087,.107,.175,.398,.423,1.000,.019,.146
140,Duje Dukan,.500,.000,.100,.000,.400,.500,,1.000,.000,.400
257,Dwight Howard,.990,.658,.322,.008,.003,.010,.710,,.318,.000
452,Dwight Powell,.946,.473,.108,.071,.294,.054,.889,1.000,.149,.375
562,Dwyane Wade,.963,.295,.230,.179,.259,.037,.278,.714,.030,.136
395,E'Twaun Moore,.733,.177,.260,.131,.165,.267,.436,.915,.015,.452
124,Ed Davis,1.000,.748,.240,.012,.000,.000,.583,,.131,
525,Edy Tavares,1.000,.737,.158,.053,.053,.000,.636,,.316,
441,Elfrid Payton,.874,.411,.212,.104,.147,.126,.285,.933,.016,.283
389,Elijah Millsap,.692,.513,.128,.000,.051,.308,.500,1.000,.026,.500
583,Elliot Williams,.600,.000,.100,.000,.500,.400,1.000,.000,.000,.250
65,Elton Brand,.986,.153,.125,.514,.194,.014,.839,,.000,1.000
404,Emmanuel Mudiay,.744,.293,.117,.146,.186,.256,.286,.730,.018,.078
172,Enes Freedom,.971,.620,.159,.120,.072,.029,.594,1.000,.065,.762
57,Eric Bledsoe,.738,.264,.161,.093,.220,.262,.143,.479,.010,.109
191,Eric Gordon,.467,.225,.096,.033,.116,.533,.441,.850,.022,.153
396,Eric Moreland,1.000,.500,.500,.000,.000,.000,1.000,,.333,
198,Erick Green,.615,.000,.154,.154,.308,.385,.000,1.000,.000,.000
267,Ersan İlyasova,.608,.292,.124,.050,.144,.392,.641,.927,.003,.131
162,Evan Fournier,.580,.300,.125,.053,.103,.420,.473,.865,.011,.200
546,Evan Turner,.890,.264,.162,.311,.153,.110,.303,.950,.013,.494
155,Festus Ezeli,1.000,.649,.272,.061,.018,.000,.816,,.342,
308,Frank Kaminsky,.615,.331,.187,.040,.057,.385,.578,.985,.034,.129
528,Garrett Temple,.489,.261,.071,.046,.113,.511,.571,.944,.026,.457
220,Gary Harris,.612,.358,.080,.075,.099,.388,.622,.943,.058,.343
411,Gary Neal,.692,.071,.160,.157,.305,.308,.473,.659,.000,.190
238,George Hill,.575,.222,.099,.103,.153,.425,.338,.820,.016,.379
201,Gerald Green,.557,.148,.075,.135,.199,.443,.527,.929,.046,.335
230,Gerald Henderson,.743,.157,.096,.183,.304,.257,.500,.958,.043,.529
20,Giannis Antetokounmpo,.892,.509,.180,.058,.143,.108,.485,.821,.143,.321
470,Glenn Robinson III,.755,.331,.139,.060,.225,.245,.627,.929,.113,.405
136,Goran Dragić,.766,.328,.142,.169,.127,.234,.252,.750,.001,.244
229,Gordon Hayward,.659,.209,.182,.128,.140,.341,.320,.797,.051,.234
133,Gorgui Dieng,.965,.387,.197,.157,.223,.035,.712,1.000,.131,.650
393,Greg Monroe,.999,.542,.324,.067,.065,.001,.570,,.021,.000
