,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
86,Malcolm Brogdon,64,5.9,11.7,1.0,3.5,3.2,0.7,0.2,1.4,1.6
603,Malcolm Miller,0,1.1,2.6,0.1,0.4,0.1,0.1,0.1,0.1,0.5
182,Malik Beasley,18,4.3,9.1,0.4,2.0,1.2,0.7,0.1,0.7,1.4
277,Malik Monk,0,3.1,8.0,0.2,1.7,1.6,0.5,0.3,1.2,1.5
403,MarShon Brooks,0,2.6,5.8,0.4,1.1,0.9,0.3,0.1,0.7,1.1
129,Marc Gasol,72,4.9,11.0,1.0,6.9,4.4,1.1,1.1,2.0,2.7
507,Marcin Gortat,43,2.1,4.0,1.4,4.1,1.4,0.1,0.5,1.1,2.0
218,Marco Belinelli,1,3.6,8.7,0.2,2.3,1.7,0.4,0.1,0.9,1.5
556,Marcus Derrickson,0,1.5,3.0,0.7,0.5,0.1,0.0,0.1,0.3,0.8
119,Marcus Morris,53,5.0,11.3,1.0,5.1,1.5,0.6,0.3,1.2,2.4
279,Marcus Smart,60,3.0,7.1,0.7,2.2,4.0,1.8,0.4,1.5,2.5
285,Mario Hezonja,24,3.3,8.0,0.5,3.6,1.5,1.0,0.1,1.5,1.9
305,Markelle Fultz,15,3.4,8.2,1.4,2.3,3.1,0.9,0.3,1.3,2.7
252,Markieff Morris,16,3.5,8.3,1.1,3.5,1.4,0.6,0.4,0.9,3.0
552,Marquese Chriss,2,1.6,4.2,0.9,2.4,0.5,0.4,0.3,0.8,1.9
102,Marvin Bagley III,4,5.7,11.4,2.6,5.0,1.0,0.5,1.0,1.6,1.9
231,Marvin Williams,75,3.7,8.7,1.0,4.4,1.2,0.9,0.8,0.6,2.1
324,Mason Plumlee,17,3.2,5.4,2.0,4.4,3.0,0.8,0.9,1.5,3.1
451,Matthew Dellavedova,0,2.0,5.0,0.1,1.5,3.8,0.3,0.0,1.4,1.6
329,Maurice Harkless,53,3.2,6.5,1.3,3.2,1.2,1.1,0.9,0.8,2.7
391,Maxi Kleber,18,2.5,5.4,1.3,3.4,1.0,0.5,1.1,0.8,2.0
705,Melvin Frazier,0,0.7,2.1,0.3,0.2,0.1,0.1,0.0,0.1,0.6
459,Meyers Leonard,2,2.2,4.0,0.8,3.0,1.2,0.2,0.1,0.7,1.7
371,Michael Beasley,2,2.9,5.9,0.5,1.8,1.0,0.3,0.4,1.0,1.6
521,Michael Carter-Williams,1,1.6,4.4,0.7,1.8,2.5,0.7,0.5,0.7,1.7
399,Michael Kidd-Gilchrist,3,2.5,5.2,1.4,2.5,1.0,0.5,0.6,0.7,2.4
300,Mikal Bridges,56,3.0,6.9,0.7,2.5,2.1,1.6,0.5,0.9,2.5
26,Mike Conley,70,7.0,16.0,0.6,2.8,6.4,1.3,0.3,1.9,1.8
367,Mike Muscala,10,2.3,5.6,0.9,2.9,1.2,0.3,0.6,0.8,2.0
463,Mike Scott,3,2.1,5.3,0.5,2.9,0.8,0.3,0.2,0.6,2.0
344,Miles Bridges,25,3.0,6.4,0.8,3.2,1.2,0.7,0.6,0.6,1.4
544,Miles Plumlee,0,1.8,2.7,0.9,1.3,0.9,0.3,0.2,0.6,0.8
635,Miloš Teodosić,0,1.1,2.7,0.2,0.9,2.1,0.2,0.1,1.4,1.8
549,Mitch Creek,0,1.6,3.2,1.2,1.2,1.2,0.4,0.0,0.2,0.6
359,Mitchell Robinson,19,3.1,4.4,2.7,3.7,0.6,0.8,2.4,0.5,3.3
431,Mo Bamba,1,2.5,5.2,1.4,3.6,0.8,0.3,1.4,0.9,2.2
223,Monte Morris,6,4.2,8.6,0.4,1.9,3.6,0.9,0.0,0.6,1.2
70,Montrezl Harrell,5,6.7,10.8,2.2,4.3,2.0,0.9,1.3,1.6,3.1
527,Moritz Wagner,5,1.7,4.0,0.4,1.6,0.6,0.3,0.3,0.9,1.3
142,Myles Turner,74,5.1,10.5,1.4,5.8,1.6,0.8,2.7,1.4,2.6
715,Naz Mitrou-Long,0,0.4,1.4,0.1,0.4,1.1,0.1,0.1,0.6,0.7
246,Nemanja Bjelica,70,3.7,7.7,1.6,4.1,1.9,0.7,0.7,1.1,2.6
597,Nenê,2,1.4,2.8,0.8,2.1,0.6,0.4,0.4,0.3,2.1
520,Nerlens Noel,2,2.1,3.6,1.6,2.6,0.6,0.9,1.2,0.6,2.2
678,Nick Young,0,0.8,2.3,0.0,0.3,0.5,0.0,0.3,0.5,1.0
262,Nicolas Batum,72,3.4,7.5,0.9,4.3,3.3,0.9,0.6,1.6,1.9
454,Nik Stauskas,0,2.0,5.0,0.3,1.6,1.2,0.3,0.1,0.8,0.7
32,Nikola Jokić,80,7.7,15.1,2.9,8.0,7.3,1.4,0.7,3.1,2.9
95,Nikola Mirotić,25,5.2,11.8,1.3,6.1,1.2,0.7,0.7,1.0,2.3
