,Player,G,MP,FTr,USG%
146,Brian Cook,40,447,.141,20.5
515,Brian Scalabrine,18,88,.000,12.5
523,Brian Skinner,2,6,,0.0
382,Brook Lopez,82,2889,.374,27.3
429,Byron Mullens,13,85,.500,22.5
409,C.J. Miles,78,1969,.218,25.1
601,C.J. Watson,82,1091,.236,21.4
366,Carl Landry,76,2008,.419,20.5
32,Carlos Arroyo,64,1185,.172,14.0
82,Carlos Boozer,59,1882,.289,26.9
169,Carlos Delfino,49,1590,.146,17.7
20,Carmelo Anthony,77,2751,.403,32.0
104,Caron Butler,29,867,.233,25.1
392,Cartier Martin,52,542,.220,17.6
223,Channing Frye,77,2541,.129,16.9
64,Charlie Bell,19,171,.093,13.1
585,Charlie Villanueva,76,1666,.164,23.1
103,Chase Budinger,78,1738,.210,19.9
71,Chauncey Billups,72,2310,.528,22.3
14,Chris Andersen,45,732,.985,13.5
83,Chris Bosh,77,2795,.446,23.5
178,Chris Douglas-Roberts,44,884,.326,18.4
185,Chris Duhon,51,774,.194,12.0
337,Chris Johnson,14,138,.952,13.5
354,Chris Kaman,32,838,.152,24.4
459,Chris Paul,80,2880,.414,21.1
488,Chris Quinn,41,292,.088,16.8
614,Chris Wilcox,57,995,.276,18.9
205,Christian Eyenga,44,947,.092,17.5
283,Chuck Hayes,74,2079,.307,13.0
7,Cole Aldrich,18,142,.267,7.9
89,Corey Brewer,69,1510,.393,18.8
387,Corey Maggette,67,1401,.581,27.7
374,Courtney Lee,81,1723,.208,17.9
85,Craig Brackins,3,33,.000,22.3
524,Craig Smith,48,586,.362,19.1
37,D.J. Augustin,82,2757,.310,21.2
312,D.J. Mbenga,41,330,.367,11.3
610,D.J. White,47,685,.292,17.7
547,DaJuan Summers,22,199,.290,21.3
147,Daequan Cook,43,598,.110,15.7
349,Dahntay Jones,45,589,.421,21.4
615,Damien Wilkins,52,676,.409,12.8
321,Damion James,25,403,.272,16.2
224,Dan Gadzuric,42,463,.209,16.5
245,Daniel Gibson,67,1865,.247,19.7
231,Danilo Gallinari,62,2104,.611,18.9
257,Danny Granger,79,2763,.370,26.7
259,Danny Green,8,92,.000,20.0
155,Dante Cunningham,78,1637,.131,15.7
534,Darius Songaila,10,71,.267,13.5
410,Darko Miličić,69,1686,.199,19.7
319,Darnell Jackson,59,486,.310,18.0
35,Darrell Arthur,80,1609,.215,21.6
143,Darren Collison,79,2360,.267,21.9
15,David Andersen,40,373,.182,19.1
375,David Lee,73,2634,.273,21.2
606,David West,70,2451,.314,25.8
353,DeAndre Jordan,80,2047,.636,11.7
74,DeJuan Blair,81,1734,.235,20.1
171,DeMar DeRozan,82,2851,.348,23.2
149,DeMarcus Cousins,81,2309,.400,27.2
117,DeMarre Carroll,12,50,.167,11.6
174,DeSagana Diop,16,181,.458,10.3
540,DeShawn Stevenson,72,1158,.130,15.9
607,Delonte West,24,453,.125,16.6
217,Derek Fisher,82,2297,.195,12.8
616,Deron Williams,65,2465,.423,25.8
97,Derrick Brown,49,576,.458,15.5
112,Derrick Caracter,41,215,.348,20.2
208,Derrick Favors,78,1535,.416,17.1
507,Derrick Rose,81,3026,.348,32.2
190,Devin Ebanks,20,118,.451,25.9
276,Devin Harris,71,2254,.494,24.6
474,Dexter Pittman,2,11,.000,21.3
443,Dirk Nowitzki,73,2504,.376,28.2
405,Dominic McGuire,52,760,.214,13.8
350,Dominique Jones,18,135,.378,21.7
264,Donté Greene,69,1127,.168,18.2
642,Dorell Wright,82,3147,.199,19.3
249,Drew Gooden,35,860,.282,24.6
304,Dwight Howard,78,2935,.877,27.2
589,Dwyane Wade,76,2823,.471,31.6
47,Earl Barron,21,305,.242,18.9
84,Earl Boykins,57,862,.233,23.9
135,Earl Clark,42,464,.297,20.5
602,Earl Watson,80,1567,.267,13.4
166,Ed Davis,65,1602,.343,13.3
303,Eddie House,56,978,.125,17.6
434,Eduardo Nájera,31,372,.153,11.3
579,Ekpe Udoh,58,1030,.288,12.8
87,Elton Brand,81,2809,.278,19.7
448,Emeka Okafor,72,2287,.492,15.8
77,Eric Bledsoe,81,1841,.274,17.9
251,Eric Gordon,56,2112,.367,26.5
398,Eric Maynor,82,1200,.177,16.5
160,Erick Dampier,51,815,.494,8.1
313,Ersan İlyasova,60,1505,.205,19.1
562,Etan Thomas,13,82,.714,18.9
333,Eugene Jeter,62,858,.158,16.5
578,Evan Turner,78,1797,.236,17.0
446,Fabricio Oberto,5,45,.400,9.2
193,Francisco Elson,62,610,.274,11.9
234,Francisco García,58,1386,.160,17.3
372,Gani Lawal,1,2,,0.0
521,Garret Siler,21,101,.710,22.6
554,Garrett Temple,24,230,.250,20.1
219,Gary Forbes,63,791,.319,20.1
