,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
360,Kosta Koufos,.987,.380,.480,.060,.067,.013,.515,,.100,.500
308,Kris Humphries,.998,.472,.256,.148,.123,.002,.723,,.178,.000
563,Kurt Thomas,.995,.194,.065,.226,.511,.005,.872,1.000,.005,.000
100,Kwame Brown,1.000,.573,.280,.133,.013,.000,.742,,.112,
359,Kyle Korver,.481,.031,.018,.061,.372,.519,.869,.950,.002,.253
385,Kyle Lowry,.576,.225,.143,.057,.151,.424,.319,.636,.000,.169
603,Kyle Weaver,.720,.160,.120,.160,.280,.280,.500,1.000,.000,.286
215,Kyrylo Fesenko,.990,.450,.410,.040,.090,.010,.568,,.120,.000
8,LaMarcus Aldridge,.984,.320,.271,.155,.238,.016,.546,.750,.117,.217
447,Lamar Odom,.801,.383,.218,.053,.147,.199,.565,.765,.058,.112
539,Lance Stephenson,.872,.333,.154,.051,.333,.128,.077,,.000,.200
216,Landry Fields,.636,.349,.151,.037,.100,.364,.582,1.000,.070,.365
452,Larry Owens,.594,.094,.250,.125,.125,.406,.333,1.000,.031,.692
514,Larry Sanders,1.000,.325,.183,.209,.284,.000,.621,,.112,
285,Lazar Hayward,.610,.214,.221,.058,.117,.390,.579,1.000,.000,.167
322,LeBron James,.812,.284,.172,.094,.262,.188,.284,.609,.068,.211
43,Leandro Barbosa,.674,.381,.103,.031,.159,.326,.369,.861,.002,.394
477,Leon Powe,.983,.487,.303,.067,.126,.017,.661,,.067,.000
307,Lester Hudson,.375,.125,.042,.000,.208,.625,.000,.500,.042,.133
358,Linas Kleiza,.677,.227,.197,.111,.143,.323,.597,.923,.032,.282
13,Lou Amundson,1.000,.617,.230,.087,.066,.000,.566,,.082,
623,Lou Williams,.682,.186,.150,.104,.242,.318,.349,.614,.019,.182
401,Luc Mbah a Moute,.984,.512,.084,.107,.280,.016,.707,,.030,.571
516,Luis Scola,.997,.256,.338,.142,.261,.003,.649,,.004,.667
38,Luke Babbitt,.709,.273,.236,.036,.164,.291,.500,1.000,.000,.188
271,Luke Harangody,.680,.228,.039,.092,.320,.320,.841,1.000,.005,.333
502,Luke Ridnour,.730,.153,.162,.120,.295,.270,.252,.444,.000,.234
597,Luke Walton,.707,.103,.147,.138,.319,.293,.700,1.000,.000,.529
170,Luol Deng,.712,.268,.158,.069,.217,.288,.620,.974,.029,.381
287,Luther Head,.610,.146,.183,.037,.244,.390,.372,.800,.006,.203
9,Malik Allen,1.000,.226,.097,.194,.484,.000,.636,,.000,
279,Manny Harris,.682,.318,.187,.038,.138,.318,.365,.824,.014,.120
247,Manu Ginóbili,.567,.215,.158,.071,.123,.433,.376,.675,.014,.172
236,Marc Gasol,.990,.331,.444,.123,.091,.010,.612,1.000,.051,.000
252,Marcin Gortat,.993,.439,.323,.148,.083,.007,.769,1.000,.111,.000
63,Marco Belinelli,.531,.132,.068,.072,.259,.469,.756,.955,.010,.346
42,Marcus Banks,1.000,.000,1.000,.000,.000,.000,,,.000,
111,Marcus Camby,.997,.466,.197,.126,.207,.003,.624,,.031,.000
148,Marcus Cousin,1.000,.000,.333,.333,.333,.000,1.000,,.000,
569,Marcus Thornton,.703,.224,.190,.089,.200,.297,.408,.761,.020,.183
129,Mario Chalmers,.405,.111,.108,.054,.131,.595,.444,.892,.000,.338
608,Mario West,.810,.476,.190,.000,.143,.190,.500,1.000,.095,.000
162,Marquis Daniels,.909,.444,.233,.134,.099,.091,.518,1.000,.039,.429
535,Marreese Speights,.986,.333,.131,.172,.351,.014,.643,1.000,.076,.000
604,Martell Webster,.612,.241,.115,.079,.176,.388,.577,.945,.047,.341
624,Marvin Williams,.795,.257,.140,.073,.326,.205,.684,1.000,.032,.545
46,Matt Barnes,.616,.387,.151,.018,.061,.384,.722,.853,.043,.439
80,Matt Bonner,.380,.084,.116,.070,.111,.620,.582,1.000,.008,.243
120,Matt Carroll,.769,.236,.030,.035,.467,.231,.806,1.000,.000,.609
2,Maurice Ager,.636,.182,.273,.000,.182,.364,.000,.333,.000,.000
199,Maurice Evans,.606,.259,.061,.097,.189,.394,.607,.964,.073,.593
449,Mehmet Okur,.742,.177,.194,.210,.161,.258,.706,1.000,.016,.250
194,Melvin Ely,1.000,.588,.275,.078,.059,.000,.571,,.098,
637,Metta World Peace,.646,.269,.126,.053,.198,.354,.579,.892,.011,.515
60,Michael Beasley,.868,.193,.230,.176,.270,.132,.425,.683,.030,.140
496,Michael Redd,.622,.111,.156,.067,.289,.378,.500,1.000,.000,.529
471,Mickaël Piétrus,.353,.085,.038,.041,.189,.647,.724,.894,.022,.398
66,Mike Bibby,.396,.063,.028,.036,.269,.604,.526,.967,.000,.282
145,Mike Conley,.772,.292,.197,.086,.197,.228,.204,.938,.003,.217
187,Mike Dunleavy,.512,.165,.067,.060,.219,.488,.761,.971,.004,.197
280,Mike Harris,1.000,.333,.333,.000,.333,.000,.667,,.000,
413,Mike Miller,.416,.144,.074,.030,.168,.584,.658,.977,.005,.305
625,Mo Williams,.666,.138,.140,.100,.288,.334,.274,.696,.000,.111
192,Monta Ellis,.765,.240,.133,.091,.300,.235,.350,.657,.027,.253
468,Morris Peterson,.800,.200,.200,.000,.400,.200,.500,,.000,1.000
520,Mustafa Shakur,.831,.254,.220,.119,.237,.169,.050,1.000,.000,.000
503,Nate Robinson,.468,.144,.032,.077,.215,.532,.388,.738,.005,.215
417,Nazr Mohammed,.998,.484,.196,.246,.071,.002,.684,,.094,1.000
363,Nenad Krstić,1.000,.369,.170,.097,.363,.000,.749,,.077,
293,Nenê,.992,.648,.170,.061,.113,.008,.703,1.000,.187,.200
144,Nick Collison,1.000,.570,.223,.037,.169,.000,.715,,.095,
644,Nick Young,.710,.105,.083,.183,.339,.290,.502,.943,.022,.402
56,Nicolas Batum,.576,.286,.077,.051,.162,.424,.735,.983,.072,.415
464,Nikola Peković,1.000,.502,.437,.053,.008,.000,.566,,.057,
400,O.J. Mayo,.647,.153,.127,.080,.286,.353,.534,.917,.011,.307
128,Omri Casspi,.548,.198,.159,.059,.132,.452,.714,.967,.049,.344
265,Orien Greene,1.000,1.000,.000,.000,.000,.000,.000,,.000,
324,Othyus Jeffers,.938,.585,.154,.108,.092,.062,.467,1.000,.123,.750
548,Pape Sy,.833,.333,.500,.000,.000,.167,.000,,.000,1.000
204,Patrick Ewing,.600,.000,.200,.200,.200,.400,,,.000,.000
