,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
427,Anthony Johnson,0,1.6,3.6,0.6,0.3,1.3,2.0,0.4,0.0,0.8,1.0
114,Anthony Morrow,37,4.8,10.2,1.7,0.9,2.9,1.5,0.9,0.2,1.2,2.3
296,Anthony Parker,81,2.5,5.9,1.2,0.4,2.5,1.9,0.8,0.2,0.9,1.9
145,Anthony Randolph,8,4.2,9.4,4.1,2.2,4.3,1.3,0.8,1.5,1.5,2.8
139,Anthony Tolliver,29,4.2,9.8,2.9,1.8,5.1,1.9,0.7,0.7,1.0,2.8
330,Antoine Wright,10,2.4,6.0,1.1,0.6,2.3,1.1,0.4,0.2,0.9,2.0
544,Antonio Anderson,0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
354,Antonio McDyess,50,2.7,5.6,0.7,1.9,4.0,1.1,0.6,0.4,1.0,1.9
229,Arron Afflalo,75,3.3,7.1,1.2,0.7,2.4,1.7,0.6,0.4,0.9,2.7
371,Austin Daye,4,2.0,4.3,0.8,0.5,2.0,0.5,0.4,0.4,0.7,1.7
81,Baron Davis,73,5.5,13.5,3.9,0.7,2.9,8.0,1.7,0.6,2.8,2.8
103,Ben Gordon,17,4.7,11.3,3.7,0.4,1.5,2.7,0.8,0.1,1.9,2.4
361,Ben Wallace,67,2.3,4.2,2.3,3.6,5.1,1.5,1.2,1.2,0.9,1.9
115,Beno Udrih,41,5.3,10.6,1.8,0.5,2.3,4.7,1.1,0.1,1.7,2.1
387,Bobby Brown,0,2.0,5.3,0.3,0.2,0.6,2.0,0.3,0.0,1.0,0.9
366,Bobby Simmons,2,1.8,5.1,0.9,0.5,2.3,0.7,0.7,0.1,0.8,2.3
