,Player,G,MP,USG%
494,Corliss Williamson,82,2061,25.3
2,Courtney Alexander,66,1360,21.3
308,Cuttino Mobley,73,3044,20.6
457,Dajuan Wagner,47,1385,23.8
111,Dale Davis,78,2282,11.8
22,Dalibor Bagarić,10,76,19.1
239,Damon Jones,49,709,15.2
426,Damon Stoudamire,59,1315,18.5
56,Damone Brown,5,115,17.7
117,Dan Dickau,50,515,20.9
150,Dan Gadzuric,49,760,12.0
256,Dan Langhi,60,541,18.8
135,Danny Ferry,64,601,12.1
142,Danny Fortson,17,223,15.6
274,Danny Manning,13,89,22.5
298,Darius Miles,67,2008,19.2
18,Darrell Armstrong,82,2350,16.9
175,Darvin Ham,75,926,12.8
385,David Robinson,64,1676,16.5
470,David Wesley,73,2710,21.4
120,DeSagana Diop,80,943,10.3
421,DeShawn Stevenson,61,760,22.0
336,Dean Oliver,15,93,19.5
10,Derek Anderson,76,2556,19.5
137,Derek Fisher,82,2829,14.5
93,Derrick Coleman,64,1742,17.3
284,Desmond Mason,80,2763,21.3
154,Devean George,71,1613,15.7
57,Devin Brown,10,93,23.0
320,Dikembe Mutombo,24,514,16.6
160,Dion Glover,76,1890,20.1
329,Dirk Nowitzki,80,3117,27.4
377,Don Reid,1,10,18.7
189,Donnell Harvey,77,1613,20.7
278,Donny Marshall,3,6,30.1
279,Donyell Marshall,78,2378,21.5
89,Doug Christie,80,2710,12.7
164,Drew Gooden,70,1873,24.5
49,Earl Boykins,68,1321,20.1
464,Earl Watson,79,1366,17.0
171,Eddie Griffin,77,1890,19.4
203,Eddie House,55,1025,23.2
240,Eddie Jones,47,1789,23.0
386,Eddie Robinson,64,1355,12.9
105,Eddy Curry,81,1571,23.6
324,Eduardo Nájera,48,1103,12.1
378,Efthimios Rentzias,35,144,20.9
78,Elden Campbell,56,869,21.3
52,Elton Brand,62,2454,22.4
112,Emanual Davis,24,340,16.5
360,Eric Piatkowski,62,1360,18.5
417,Eric Snow,82,3108,16.8
483,Eric Williams,82,2350,15.6
107,Erick Dampier,82,1978,15.7
428,Erick Strickland,71,1275,18.3
235,Ervin Johnson,69,1170,7.5
437,Etan Thomas,38,513,18.2
133,Evan Eschmeyer,17,135,9.0
484,Frank Williams,21,167,14.6
201,Fred Hoiberg,63,784,9.8
241,Fred Jones,19,115,12.5
353,Gary Payton,80,3208,26.4
446,Gary Trent,80,1222,18.3
266,George Lynch,81,1497,13.5
461,Gerald Wallace,47,571,20.1
16,Gilbert Arenas,82,2866,24.9
379,Glen Rice,62,1532,16.5
387,Glenn Robinson,69,2591,28.8
