,Player,Team,Height,Season
9530,Derrick Favors,UTA,6-9,2021
9531,Derrick Jones Jr.,POR,6-5,2021
9532,Derrick Rose,NYK,6-2,2021
9533,Derrick White,SAS,6-4,2021
9534,Desmond Bane,MEM,6-5,2021
9535,Devin Booker,PHX,6-5,2021
9536,Devin Cannady,ORL,6-2,2021
9537,Devin Vassell,SAS,6-5,2021
9538,Devon Dotson,CHI,6-2,2021
9539,Devontae Cacok,LAL,6-7,2021
9540,Devonte' Graham,CHA,6-1,2021
9541,Dewayne Dedmon,MIA,7-0,2021
9542,Didi Louzada,NOP,6-5,2021
9543,Dillon Brooks,MEM,6-7,2021
9544,Domantas Sabonis,IND,6-11,2021
9545,Donovan Mitchell,UTA,6-1,2021
9546,Donta Hall,ORL,6-10,2021
9547,Donte DiVincenzo,MIL,6-4,2021
9548,Dorian Finney-Smith,DAL,6-7,2021
9549,Doug McDermott,IND,6-7,2021
9550,Draymond Green,GSW,6-6,2021
9551,Drew Eubanks,SAS,6-9,2021
9552,Duncan Robinson,MIA,6-7,2021
9553,Dwayne Bacon,ORL,6-6,2021
9554,Dwight Howard,PHI,6-10,2021
9555,Dwight Powell,DAL,6-10,2021
9556,Dylan Windler,CLE,6-6,2021
9557,E'Twaun Moore,PHX,6-3,2021
9558,Ed Davis,MIN,6-9,2021
9559,Edmond Sumner,IND,6-4,2021
9560,Elfrid Payton,NYK,6-3,2021
9561,Elijah Bryant,MIL,6-5,2021
9562,Elijah Hughes,UTA,6-5,2021
9563,Enes Freedom,POR,6-10,2021
9564,Eric Bledsoe,NOP,6-1,2021
9565,Eric Gordon,HOU,6-3,2021
9566,Eric Paschall,GSW,6-6,2021
9567,Ersan Ilyasova,UTA,6-9,2021
9568,Evan Fournier,BOS,6-7,2021
9569,Facundo Campazzo,DEN,5-10,2021
9570,Frank Jackson,DET,6-3,2021
9571,Frank Kaminsky,PHX,7-0,2021
9572,Frank Mason III,ORL,5-11,2021
9573,Frank Ntilikina,NYK,6-4,2021
9574,Fred VanVleet,TOR,6-1,2021
9575,Freddie Gillespie,TOR,6-9,2021
9576,Furkan Korkmaz,PHI,6-7,2021
9577,Gabe Vincent,MIA,6-3,2021
9578,Gabriel Deck,OKC,6-6,2021
9579,Garrett Temple,CHI,6-5,2021
9580,Garrison Mathews,WAS,6-5,2021
9581,Gary Clark,PHI,6-6,2021
9582,Gary Harris,ORL,6-4,2021
9583,Gary Payton II,GSW,6-3,2021
9584,Gary Trent Jr.,TOR,6-5,2021
9585,George Hill,PHI,6-4,2021
9586,Georges Niang,UTA,6-7,2021
9587,Giannis Antetokounmpo,MIL,6-11,2021
9588,Glenn Robinson III,SAC,6-6,2021
9589,Goga Bitadze,IND,6-11,2021
9590,Goran Dragic,MIA,6-3,2021
9591,Gordon Hayward,CHA,6-7,2021
9592,Gorgui Dieng,SAS,6-10,2021
9593,Grant Riller,CHA,6-2,2021
9594,Grant Williams,BOS,6-6,2021
9595,Grayson Allen,MEM,6-4,2021
9596,Greg Whittington,DEN,6-8,2021
9597,Hamidou Diallo,DET,6-5,2021
9598,Harrison Barnes,SAC,6-8,2021
9599,Harry Giles III,POR,6-11,2021
9600,Hassan Whiteside,SAC,7-0,2021
9601,Henry Ellenson,TOR,6-10,2021
9602,Ignas Brazdeikis,ORL,6-6,2021
9603,Iman Shumpert,BKN,6-5,2021
9604,Immanuel Quickley,NYK,6-3,2021
9605,Isaac Bonga,WAS,6-8,2021
9606,Isaac Okoro,CLE,6-5,2021
9607,Isaiah Hartenstein,CLE,7-0,2021
9608,Isaiah Joe,PHI,6-4,2021
9609,Isaiah Roby,OKC,6-8,2021
9610,Isaiah Stewart,DET,6-8,2021
9611,Isaiah Thomas,NOP,5-9,2021
9612,Ish Smith,WAS,6-0,2021
9613,Ivica Zubac,LAC,7-0,2021
9614,JJ Redick,DAL,6-3,2021
9615,Ja Morant,MEM,6-3,2021
9616,JaKarr Sampson,IND,6-7,2021
9617,JaMychal Green,DEN,6-8,2021
9618,JaVale McGee,DEN,7-0,2021
9619,Jabari Parker,BOS,6-8,2021
9620,Jaden McDaniels,MIN,6-9,2021
9621,Jae Crowder,PHX,6-6,2021
9622,Jae'Sean Tate,HOU,6-4,2021
9623,Jahlil Okafor,DET,6-10,2021
9624,Jahmi'us Ramsey,SAC,6-3,2021
9625,Jake Layman,MIN,6-8,2021
9626,Jakob Poeltl,SAS,7-1,2021
9627,Jalen Brunson,DAL,6-1,2021
9628,Jalen Harris,TOR,6-5,2021
9629,Jalen Lecque,IND,6-4,2021
9630,Jalen McDaniels,CHA,6-9,2021
9631,Jalen Smith,PHX,6-10,2021
9632,Jamal Murray,DEN,6-3,2021
9633,James Ennis III,ORL,6-6,2021
9634,James Harden,BKN,6-5,2021
9635,James Johnson,NOP,6-7,2021
9636,James Nunnally,NOP,6-7,2021
9637,James Wiseman,GSW,7-0,2021
9638,Jared Dudley,LAL,6-6,2021
9639,Jared Harper,NYK,5-10,2021
9640,Jaren Jackson Jr.,MEM,6-11,2021
9641,Jarred Vanderbilt,MIN,6-9,2021
9642,Jarrell Brantley,UTA,6-5,2021
9643,Jarrett Allen,CLE,6-11,2021
9644,Jarrett Culver,MIN,6-6,2021
9645,Javonte Green,CHI,6-4,2021
9646,Jaxson Hayes,NOP,6-11,2021
9647,Jay Scrubb,LAC,6-5,2021
9648,Jaylen Adams,MIL,6-0,2021
9649,Jaylen Brown,BOS,6-6,2021
9650,Jaylen Hoard,OKC,6-8,2021
9651,Jaylen Nowell,MIN,6-4,2021
9652,Jayson Tatum,BOS,6-8,2021
9653,Jeff Green,BKN,6-8,2021
9654,Jeff Teague,MIL,6-3,2021
9655,Jerami Grant,DET,6-8,2021
9656,Jeremiah Martin,CLE,6-2,2021
9657,Jeremy Lamb,IND,6-5,2021
9658,Jerome Robinson,WAS,6-4,2021
9659,Jevon Carter,PHX,6-1,2021
9660,Jimmy Butler,MIA,6-7,2021
9661,Joe Harris,BKN,6-6,2021
9662,Joe Ingles,UTA,6-8,2021
9663,Joel Embiid,PHI,7-0,2021
9664,John Collins,ATL,6-9,2021
9665,John Konchar,MEM,6-5,2021
9666,John Wall,HOU,6-3,2021
9667,Jonas Valančiūnas,MEM,6-11,2021
9668,Jontay Porter,MEM,6-11,2021
9669,Jordan Bell,GSW,6-8,2021
9670,Jordan Bone,ORL,6-2,2021
9671,Jordan Clarkson,UTA,6-4,2021
9672,Jordan McLaughlin,MIN,5-11,2021
9673,Jordan Nwora,MIL,6-8,2021
9674,Jordan Poole,GSW,6-4,2021
9675,Josh Green,DAL,6-5,2021
9676,Josh Hall,OKC,6-9,2021
9677,Josh Hart,NOP,6-5,2021
9678,Josh Jackson,DET,6-8,2021
9679,Josh Okogie,MIN,6-4,2021
9680,Josh Richardson,DAL,6-5,2021
9681,Jrue Holiday,MIL,6-3,2021
9682,Juan Toscano-Anderson,GSW,6-6,2021
9683,Juancho Hernangomez,MIN,6-9,2021
9684,Julius Randle,NYK,6-8,2021
9685,Justin Holiday,IND,6-6,2021
9686,Justin Jackson,MIL,6-8,2021
9687,Justin James,SAC,6-7,2021
9688,Justin Patton,HOU,6-11,2021
9689,Justin Robinson,OKC,6-1,2021
9690,Justise Winslow,MEM,6-6,2021
9691,Jusuf Nurkić,POR,6-11,2021
9692,Juwan Morgan,UTA,6-7,2021
9693,KJ Martin,HOU,6-6,2021
9694,KZ Okpala,MIA,6-8,2021
9695,Karim Mane,ORL,6-3,2021
9696,Karl-Anthony Towns,MIN,6-11,2021
9697,Kawhi Leonard,LAC,6-7,2021
9698,Keita Bates-Diop,SAS,6-8,2021
9699,Kelan Martin,IND,6-5,2021
9700,Keldon Johnson,SAS,6-5,2021
9701,Keljin Blevins,POR,6-4,2021
9702,Kelly Olynyk,HOU,6-11,2021
9703,Kelly Oubre Jr.,GSW,6-7,2021
9704,Kemba Walker,OKC,6-0,2021
9705,Kendrick Nunn,MIA,6-2,2021
9706,Kenrich Williams,OKC,6-6,2021
9707,Kent Bazemore,GSW,6-4,2021
9708,Kentavious Caldwell-Pope,LAL,6-5,2021
9709,Kevin Durant,BKN,6-10,2021
9710,Kevin Huerter,ATL,6-7,2021
9711,Kevin Knox II,NYK,6-7,2021
9712,Kevin Love,CLE,6-8,2021
9713,Kevin Porter Jr.,HOU,6-4,2021
9714,Kevon Looney,GSW,6-9,2021
9715,Khem Birch,TOR,6-9,2021
9716,Khris Middleton,MIL,6-7,2021
9717,Khyri Thomas,HOU,6-3,2021
9718,Killian Hayes,DET,6-5,2021
9719,Killian Tillie,MEM,6-9,2021
9720,Kira Lewis Jr.,NOP,6-1,2021
9721,Kostas Antetokounmpo,LAL,6-10,2021
9722,Kris Dunn,ATL,6-3,2021
9723,Kristaps Porziņģis,DAL,7-3,2021
9724,Kyle Anderson,MEM,6-9,2021
9725,Kyle Guy,SAC,6-1,2021
9726,Kyle Kuzma,LAL,6-10,2021
9727,Kyle Lowry,TOR,6-0,2021
9728,Kyrie Irving,BKN,6-2,2021
9729,LaMarcus Aldridge,BKN,6-11,2021
9730,LaMelo Ball,CHA,6-6,2021
9731,Lamar Stevens,CLE,6-6,2021
9732,Landry Shamet,BKN,6-4,2021
9733,Langston Galloway,PHX,6-1,2021
9734,Larry Nance Jr.,CLE,6-7,2021
9735,Lauri Markkanen,CHI,7-0,2021
9736,LeBron James,LAL,6-9,2021
9737,Lonnie Walker IV,SAS,6-4,2021
9738,Lonzo Ball,NOP,6-6,2021
9739,Lou Williams,ATL,6-1,2021
9740,Louis King,SAC,6-7,2021
9741,Luguentz Dort,OKC,6-3,2021
9742,Luka Dončić,DAL,6-7,2021
9743,Luka Samanic,SAS,6-10,2021
9744,Luke Kennard,LAC,6-5,2021
9745,Luke Kornet,BOS,7-2,2021
9746,Malachi Flynn,TOR,6-1,2021
9747,Malcolm Brogdon,IND,6-5,2021
9748,Malik Beasley,MIN,6-4,2021
9749,Malik Fitts,LAC,6-8,2021
9750,Malik Monk,CHA,6-3,2021
9751,Mamadi Diakite,MIL,6-9,2021
9752,Marc Gasol,LAL,6-11,2021
9753,Marcus Morris Sr.,LAC,6-8,2021
9754,Marcus Smart,BOS,6-3,2021
9755,Markelle Fultz,ORL,6-3,2021
9756,Markieff Morris,LAL,6-9,2021
9757,Markus Howard,DEN,5-10,2021
9758,Marques Bolden,CLE,6-10,2021
9759,Marquese Chriss,GSW,6-9,2021
9760,Marvin Bagley III,SAC,6-11,2021
9761,Mason Jones,PHI,6-4,2021
9762,Mason Plumlee,DET,6-11,2021
9763,Matisse Thybulle,PHI,6-5,2021
9764,Matt Thomas,UTA,6-4,2021
9765,Matthew Dellavedova,CLE,6-3,2021
9766,Maurice Harkless,SAC,6-7,2021
9767,Max Strus,MIA,6-5,2021
9768,Maxi Kleber,DAL,6-10,2021
9769,Meyers Leonard,MIA,7-0,2021
9770,Mfiondu Kabengele,CLE,6-9,2021
9771,Michael Carter-Williams,ORL,6-5,2021
9772,Michael Porter Jr.,DEN,6-10,2021
9773,Mikal Bridges,PHX,6-6,2021
9774,Mike Conley,UTA,6-1,2021
9775,Mike James,BKN,6-1,2021
9776,Mike Muscala,OKC,6-10,2021
9777,Mike Scott,PHI,6-7,2021
9778,Miles Bridges,CHA,6-6,2021
9779,Mitchell Robinson,NYK,7-0,2021
9780,Miye Oni,UTA,6-5,2021
9781,Mo Bamba,ORL,7-0,2021
9782,Montrezl Harrell,LAL,6-7,2021
9783,Monté Morris,DEN,6-2,2021
9784,Moritz Wagner,ORL,6-11,2021
9785,Moses Brown,BOS,7-2,2021
9786,Mychal Mulder,GSW,6-3,2021
9787,Myles Turner,IND,6-11,2021
9788,Naji Marshall,NOP,6-7,2021
9789,Nassir Little,POR,6-5,2021
9790,Nate Darling,CHA,6-6,2021
9791,Nate Hinton,DAL,6-5,2021
9792,Nathan Knight,ATL,6-10,2021
9793,Naz Reid,MIN,6-9,2021
9794,Nemanja Bjelica,MIA,6-10,2021
9795,Nerlens Noel,NYK,6-11,2021
9796,Nic Claxton,BKN,6-11,2021
9797,Nick Richards,CHA,7-0,2021
9798,Nickeil Alexander-Walker,NOP,6-6,2021
9799,Nico Mannion,GSW,6-2,2021
9800,Nicolas Batum,LAC,6-8,2021
9801,Nicolo Melli,DAL,6-9,2021
9802,Nikola Jokić,DEN,6-11,2021
9803,Nikola Vučević,CHI,6-11,2021
9804,Noah Vonleh,BKN,6-10,2021
9805,Norman Powell,POR,6-3,2021
9806,Norvel Pelle,NYK,6-10,2021
9807,OG Anunoby,TOR,6-7,2021
9808,Obi Toppin,NYK,6-9,2021
9809,Onyeka Okongwu,ATL,6-8,2021
9810,Oshae Brissett,IND,6-7,2021
9811,Otto Porter Jr.,ORL,6-8,2021
9812,P.J. Tucker,MIL,6-5,2021
9813,P.J. Washington,CHA,6-7,2021
9814,PJ Dozier,DEN,6-6,2021
9815,Pascal Siakam,TOR,6-9,2021
9816,Pat Connaughton,MIL,6-5,2021
9817,Patrick Beverley,LAC,6-1,2021
9818,Patrick McCaw,TOR,6-7,2021
9819,Patrick Patterson,LAC,6-8,2021
9820,Patrick Williams,CHI,6-7,2021
9821,Patty Mills,SAS,6-1,2021
9822,Paul George,LAC,6-8,2021
9823,Paul Millsap,DEN,6-7,2021
9824,Paul Reed,PHI,6-9,2021
9825,Paul Watson,TOR,6-6,2021
9826,Payton Pritchard,BOS,6-1,2021
9827,Precious Achiuwa,MIA,6-8,2021
9828,Quinn Cook,CLE,6-1,2021
9829,Quinndary Weatherspoon,SAS,6-3,2021
9830,R.J. Hampton,ORL,6-4,2021
9831,RJ Barrett,NYK,6-6,2021
9832,Rajon Rondo,LAC,6-1,2021
9833,Raul Neto,WAS,6-1,2021
9834,Ray Spalding,HOU,6-9,2021
9835,Rayjon Tucker,PHI,6-3,2021
9836,Reggie Bullock Jr.,NYK,6-6,2021
9837,Reggie Jackson,LAC,6-2,2021
9838,Reggie Perry,BKN,6-8,2021
9839,Richaun Holmes,SAC,6-10,2021
9840,Ricky Rubio,MIN,6-3,2021
9841,Robert Covington,POR,6-7,2021
9842,Robert Franks,ORL,6-7,2021
9843,Robert Williams III,BOS,6-8,2021
9844,Robert Woodard II,SAC,6-6,2021
9845,Robin Lopez,WAS,7-0,2021
9846,Rodions Kurucs,MIL,6-9,2021
9847,Rodney Hood,TOR,6-8,2021
9848,Rodney McGruder,DET,6-4,2021
9849,Romeo Langford,BOS,6-4,2021
9850,Rondae Hollis-Jefferson,POR,6-6,2021
9851,Royce O'Neale,UTA,6-4,2021
9852,Rudy Gay,SAS,6-8,2021
9853,Rudy Gobert,UTA,7-1,2021
9854,Rui Hachimura,WAS,6-8,2021
9855,Russell Westbrook,WAS,6-3,2021
9856,Ryan Arcidiacono,CHI,6-3,2021
9857,Saben Lee,DET,6-2,2021
9858,Saddiq Bey,DET,6-7,2021
9859,Sam Merrill,MIL,6-4,2021
9860,Sean McDermott,MEM,6-6,2021
9861,Sekou Doumbouya,DET,6-8,2021
9862,Semi Ojeleye,BOS,6-6,2021
9863,Serge Ibaka,LAC,6-10,2021
9864,Seth Curry,PHI,6-2,2021
9865,Shai Gilgeous-Alexander,OKC,6-6,2021
9866,Shake Milton,PHI,6-5,2021
9867,Shaquille Harrison,DEN,6-7,2021
9868,Sindarius Thornwell,ORL,6-4,2021
9869,Skylar Mays,ATL,6-4,2021
9870,Solomon Hill,ATL,6-6,2021
9871,Spencer Dinwiddie,BKN,6-5,2021
9872,Stanley Johnson,TOR,6-6,2021
9873,Stephen Curry,GSW,6-3,2021
9874,Sterling Brown,HOU,6-5,2021
9875,Steven Adams,NOP,6-11,2021
9876,Svi Mykhailiuk,OKC,6-7,2021
9877,T.J. Leaf,POR,6-10,2021
9878,T.J. McConnell,IND,6-1,2021
9879,T.J. Warren,IND,6-8,2021
9880,Tacko Fall,BOS,7-5,2021
9881,Taj Gibson,NYK,6-9,2021
9882,Talen Horton-Tucker,LAL,6-4,2021
9883,Taurean Prince,CLE,6-7,2021
9884,Terance Mann,LAC,6-5,2021
9885,Terence Davis,SAC,6-4,2021
9886,Terrance Ferguson,PHI,6-6,2021
9887,Terrence Ross,ORL,6-6,2021
9888,Terry Rozier,CHA,6-1,2021
9889,Thaddeus Young,CHI,6-8,2021
9890,Thanasis Antetokounmpo,MIL,6-6,2021
9891,Theo Maledon,OKC,6-4,2021
9892,Theo Pinson,NYK,6-5,2021
9893,Thomas Bryant,WAS,6-10,2021
9894,Thon Maker,CLE,7-0,2021
9895,Tim Frazier,MEM,6-0,2021
9896,Tim Hardaway Jr.,DAL,6-5,2021
9897,Timothe Luwawu-Cabarrot,BKN,6-7,2021
9898,Tobias Harris,PHI,6-8,2021
9899,Tomas Satoransky,CHI,6-7,2021
9900,Tony Bradley,OKC,6-10,2021
9901,Tony Snell,ATL,6-6,2021
9902,Torrey Craig,PHX,6-7,2021
9903,Trae Young,ATL,6-1,2021
9904,Tre Jones,SAS,6-1,2021
9905,Tremont Waters,BOS,5-10,2021
9906,Trent Forrest,UTA,6-4,2021
9907,Trevor Ariza,MIA,6-8,2021
9908,Trey Burke,DAL,6-0,2021
9909,Trey Lyles,SAS,6-9,2021
9910,Tristan Thompson,BOS,6-9,2021
9911,Troy Brown Jr.,CHI,6-6,2021
9912,Ty Jerome,OKC,6-5,2021
9913,Ty-Shon Alexander,PHX,6-3,2021
9914,Tyler Bey,DAL,6-7,2021
9915,Tyler Cook,DET,6-8,2021
9916,Tyler Herro,MIA,6-5,2021
9917,Tyler Johnson,BKN,6-3,2021
9918,Tyrell Terry,DAL,6-2,2021
9919,Tyrese Haliburton,SAC,6-5,2021
9920,Tyrese Maxey,PHI,6-2,2021
9921,Tyus Jones,MEM,6-0,2021
9922,Udoka Azubuike,UTA,6-10,2021
9923,Udonis Haslem,MIA,6-8,2021
9924,Vernon Carey Jr.,CHA,6-9,2021
9925,Victor Oladipo,MIA,6-4,2021
9926,Vincent Poirier,PHI,7-0,2021
9927,Vlatko Čančar,DEN,6-8,2021
9928,Wayne Ellington,DET,6-4,2021
9929,Wendell Carter Jr.,ORL,6-10,2021
9930,Wenyen Gabriel,NOP,6-9,2021
9931,Wes Iwundu,NOP,6-6,2021
9932,Wesley Matthews,LAL,6-4,2021
9933,Will Barton,DEN,6-6,2021
9934,Will Magnay,NOP,6-10,2021
9935,Willie Cauley-Stein,DAL,7-0,2021
9936,Willy Hernangomez,NOP,6-11,2021
9937,Xavier Tillman,MEM,6-8,2021
9938,Yogi Ferrell,LAC,6-0,2021
9939,Yuta Watanabe,TOR,6-9,2021
9940,Zach LaVine,CHI,6-5,2021
9941,Zeke Nnaji,DEN,6-9,2021
9942,Zion Williamson,NOP,6-7,2021
9943,Aaron Gordon,DEN,6-8,2022
9944,Aaron Henry,PHI,6-5,2022
9945,Aaron Holiday,PHX,6-0,2022
9946,Aaron Nesmith,BOS,6-5,2022
9947,Aaron Wiggins,OKC,6-4,2022
9948,Abdel Nader,PHX,6-5,2022
9949,Ade Murkey,SAC,6-5,2022
9950,Admiral Schofield,ORL,6-5,2022
9951,Ahmad Caver,IND,6-2,2022
9952,Al Horford,BOS,6-9,2022
9953,Alec Burks,NYK,6-6,2022
9954,Aleem Ford,ORL,6-8,2022
9955,Aleksej Pokusevski,OKC,7-0,2022
9956,Alex Caruso,CHI,6-5,2022
9957,Alex Len,SAC,7-0,2022
9958,Alfonzo McKinnie,CHI,6-7,2022
9959,Alize Johnson,NOP,6-8,2022
9960,Alperen Sengun,HOU,6-10,2022
9961,Amir Coffey,LAC,6-7,2022
9962,Andre Drummond,BKN,6-10,2022
9963,Andre Iguodala,GSW,6-6,2022
9964,Andrew Wiggins,GSW,6-7,2022
9965,Anfernee Simons,POR,6-3,2022
9966,Anthony Davis,LAL,6-10,2022
9967,Anthony Edwards,MIN,6-4,2022
9968,Anthony Gill,WAS,6-7,2022
9969,Anthony Lamb,HOU,6-6,2022
9970,Armoni Brooks,TOR,6-3,2022
9971,Arnoldas Kulboka,CHA,6-10,2022
9972,Austin Reaves,LAL,6-5,2022
9973,Austin Rivers,DEN,6-4,2022
9974,Avery Bradley,LAL,6-3,2022
9975,Ayo Dosunmu,CHI,6-4,2022
9976,BJ Johnson,ORL,6-6,2022
9977,Bam Adebayo,MIA,6-9,2022
9978,Ben McLemore,POR,6-3,2022
9979,Bismack Biyombo,PHX,6-8,2022
9980,Blake Griffin,BKN,6-9,2022
9981,Boban Marjanović,DAL,7-3,2022
9982,Bobby Portis,MIL,6-10,2022
9983,Bogdan Bogdanović,ATL,6-6,2022
9984,Bojan Bogdanović,UTA,6-7,2022
9985,Bol Bol,ORL,7-2,2022
9986,Bones Hyland,DEN,6-2,2022
9987,Brad Wanamaker,WAS,6-3,2022
9988,Bradley Beal,WAS,6-4,2022
9989,Brandon Boston,LAC,6-6,2022
9990,Brandon Clarke,MEM,6-8,2022
9991,Brandon Goodwin,CLE,6-0,2022
9992,Brandon Ingram,NOP,6-8,2022
9993,Brandon Knight,DAL,6-2,2022
9994,Brandon Williams,POR,6-2,2022
9995,Braxton Key,DET,6-8,2022
9996,Brodric Thomas,BOS,6-5,2022
9997,Brook Lopez,MIL,7-0,2022
9998,Bruce Brown,BKN,6-4,2022
9999,Bruno Fernando,HOU,6-9,2022
10000,Bryn Forbes,DEN,6-2,2022
10001,Buddy Hield,IND,6-4,2022
10002,CJ Elleby,POR,6-6,2022
10003,CJ McCollum,NOP,6-3,2022
10004,CJ Miles,BOS,6-6,2022
10005,Cade Cunningham,DET,6-6,2022
10006,Caleb Martin,MIA,6-5,2022
10007,Cam Reddish,NYK,6-8,2022
10008,Cam Thomas,BKN,6-3,2022
10009,Cameron Johnson,PHX,6-8,2022
10010,Cameron McGriff,POR,6-7,2022
10011,Cameron Oliver,ATL,6-8,2022
10012,Cameron Payne,PHX,6-1,2022
10013,Caris LeVert,CLE,6-6,2022
10014,Carlik Jones,DEN,6-0,2022
10015,Carmelo Anthony,LAL,6-7,2022
10016,Carsen Edwards,DET,5-11,2022
10017,Cassius Stanley,DET,6-5,2022
10018,Cassius Winston,WAS,6-1,2022
10019,Cat Barber,ATL,6-1,2022
10020,Cedi Osman,CLE,6-7,2022
10021,Chandler Hutchison,PHX,6-6,2022
10022,Charles Bassey,PHI,6-9,2022
10023,Charlie Brown Jr.,PHI,6-6,2022
10024,Chaundee Brown Jr.,ATL,6-5,2022
10025,Cheick Diallo,DET,6-8,2022
10026,Chimezie Metu,SAC,6-9,2022
10027,Chris Boucher,TOR,6-9,2022
10028,Chris Chiozza,GSW,5-11,2022
10029,Chris Duarte,IND,6-5,2022
10030,Chris Paul,PHX,6-0,2022
10031,Chris Silva,MIA,6-8,2022
10032,Christian Wood,HOU,6-9,2022
10033,Chuma Okeke,ORL,6-6,2022
10034,Clint Capela,ATL,6-10,2022
10035,Coby White,CHI,6-4,2022
10036,Cody Martin,CHA,6-6,2022
10037,Cody Zeller,POR,6-11,2022
10038,Cole Anthony,ORL,6-3,2022
10039,Collin Sexton,CLE,6-1,2022
10040,Corey Kispert,WAS,6-6,2022
10041,Cory Joseph,DET,6-3,2022
10042,Craig Sword,WAS,6-3,2022
10043,D'Angelo Russell,MIN,6-4,2022
10044,D.J. Augustin,LAL,5-11,2022
10045,D.J. Wilson,TOR,6-10,2022
10046,DaQuan Jeffries,MEM,6-5,2022
10047,Daishen Nix,HOU,6-4,2022
10048,Dakota Mathias,MEM,6-4,2022
10049,Dalano Banton,TOR,6-7,2022
10050,Damian Jones,SAC,6-11,2022
10051,Damian Lillard,POR,6-2,2022
10052,Damion Lee,GSW,6-5,2022
10053,Damyean Dotson,NYK,6-5,2022
10054,Daniel Gafford,WAS,6-9,2022
10055,Daniel Oturu,TOR,6-8,2022
10056,Daniel Theis,BOS,6-9,2022
10057,Danilo Gallinari,ATL,6-10,2022
10058,Danny Green,PHI,6-6,2022
10059,Danuel House Jr.,UTA,6-6,2022
10060,Darius Bazley,OKC,6-8,2022
10061,Darius Garland,CLE,6-1,2022
10062,Darren Collison,LAL,6-0,2022
10063,David Duke Jr.,BKN,6-4,2022
10064,David Johnson,TOR,6-4,2022
10065,David Nwaba,HOU,6-5,2022
10066,Davion Mitchell,SAC,6-0,2022
10067,Davis Bertans,DAL,6-10,2022
10068,Davon Reed,DEN,6-5,2022
10069,Day'Ron Sharpe,BKN,6-9,2022
10070,De'Aaron Fox,SAC,6-3,2022
10071,De'Andre Hunter,ATL,6-8,2022
10072,De'Anthony Melton,MEM,6-2,2022
10073,DeAndre Jordan,PHI,6-11,2022
10074,DeAndre' Bembry,MIL,6-5,2022
10075,DeJon Jarreau,IND,6-5,2022
10076,DeMar DeRozan,CHI,6-6,2022
10077,DeMarcus Cousins,DEN,6-10,2022
10078,Dean Wade,CLE,6-9,2022
10079,Deandre Ayton,PHX,6-11,2022
10080,Deividas Sirvydis,DET,6-8,2022
10081,Dejounte Murray,SAS,6-4,2022
10082,Delon Wright,ATL,6-5,2022
10083,Deni Avdija,WAS,6-9,2022
10084,Dennis Schröder,HOU,6-1,2022
10085,Dennis Smith Jr.,POR,6-2,2022
10086,Denzel Valentine,UTA,6-4,2022
10087,Derrick Favors,OKC,6-9,2022
10088,Derrick Jones Jr.,CHI,6-6,2022
10089,Derrick Rose,NYK,6-2,2022
10090,Derrick Walton Jr.,DET,6-0,2022
10091,Derrick White,BOS,6-4,2022
10092,Desmond Bane,MEM,6-5,2022
10093,Devin Booker,PHX,6-5,2022
10094,Devin Cannady,ORL,6-2,2022
10095,Devin Vassell,SAS,6-5,2022
10096,Devon Dotson,CHI,6-1,2022
10097,Devontae Cacok,SAS,6-7,2022
10098,Devonte' Graham,NOP,6-1,2022
10099,Dewayne Dedmon,MIA,7-0,2022
10100,Didi Louzada,POR,6-5,2022
10101,Dillon Brooks,MEM,6-7,2022
10102,Domantas Sabonis,SAC,6-11,2022
10103,Donovan Mitchell,UTA,6-1,2022
10104,Donte DiVincenzo,SAC,6-4,2022
10105,Dorian Finney-Smith,DAL,6-7,2022
10106,Doug McDermott,SAS,6-7,2022
10107,Draymond Green,GSW,6-6,2022
10108,Drew Eubanks,POR,6-9,2022
10109,Duane Washington Jr.,IND,6-3,2022
10110,Duncan Robinson,MIA,6-7,2022
10111,Dwight Howard,LAL,6-10,2022
10112,Dwight Powell,DAL,6-10,2022
10113,Dylan Windler,CLE,6-6,2022
10114,Ed Davis,CLE,6-9,2022
10115,Elfrid Payton,PHX,6-3,2022
10116,Elijah Hughes,POR,6-5,2022
10117,Emanuel Terry,PHX,6-9,2022
10118,Emmanuel Mudiay,SAC,6-3,2022
10119,Enes Freedom,BOS,6-10,2022
10120,Eric Bledsoe,POR,6-1,2022
10121,Eric Gordon,HOU,6-3,2022
10122,Eric Paschall,UTA,6-6,2022
10123,Eugene Omoruyi,DAL,6-6,2022
10124,Evan Fournier,NYK,6-6,2022
10125,Evan Mobley,CLE,6-11,2022
10126,Facundo Campazzo,DEN,5-10,2022
10127,Feron Hunt,NYK,6-8,2022
10128,Frank Jackson,DET,6-3,2022
10129,Frank Kaminsky,PHX,7-0,2022
10130,Frank Ntilikina,DAL,6-4,2022
10131,Franz Wagner,ORL,6-10,2022
10132,Fred VanVleet,TOR,6-1,2022
10133,Freddie Gillespie,ORL,6-9,2022
10134,Furkan Korkmaz,PHI,6-7,2022
10135,Gabe Vincent,MIA,6-3,2022
10136,Gabe York,IND,6-3,2022
10137,Gabriel Deck,OKC,6-6,2022
10138,Gabriel Lundberg,PHX,6-4,2022
10139,Garrett Temple,NOP,6-5,2022
10140,Garrison Mathews,HOU,6-5,2022
10141,Gary Clark,NOP,6-6,2022
10142,Gary Harris,ORL,6-4,2022
10143,Gary Payton II,GSW,6-3,2022
10144,Gary Trent Jr.,TOR,6-5,2022
10145,George Hill,MIL,6-4,2022
