Rank-Statistic,Overall
2023-SAS,22-60
2023-DET,17-65
2024-BOS,64-18
2024-DEN,57-25
2024-OKC,57-25
2024-MIN,56-26
2024-LAC,51-31
2024-DAL,50-32
2024-NYK,50-32
2024-MIL,49-33
2024-NOP,49-33
2024-PHO,49-33
2024-CLE,48-34
2024-IND,47-35
2024-LAL,47-35
2024-ORL,47-35
2024-PHI,47-35
2024-MIA,46-36
2024-GSW,46-36
2024-SAC,46-36
2024-HOU,41-41
2024-CHI,39-43
,
,Overall
2024-ATL,36-46
2024-BRK,32-50
2024-UTA,31-51
2024-MEM,27-55
2024-TOR,25-57
2024-SAS,22-60
2024-CHA,21-61
2024-POR,21-61
2024-WAS,15-67
2024-DET,14-68
