,Player,Pos,G,MP,Roster
10517,Donte Grantham,SF,3,0.7,2019OKC
10518,Team Totals,,82,242.1,2019OKC
10519,D'Angelo Russell,PG,81,30.2,2019BRK
10520,Joe Harris,SG,76,30.2,2019BRK
10521,Spencer Dinwiddie,PG,68,28.1,2019BRK
10522,Caris LeVert,SF,40,26.6,2019BRK
10523,Allen Crabbe,SG,43,26.3,2019BRK
10524,Jarrett Allen,C,80,26.2,2019BRK
10525,DeMarre Carroll,PF,67,25.4,2019BRK
10526,Rondae Hollis-Jefferson,SF,59,20.9,2019BRK
10527,Jared Dudley,PF,59,20.7,2019BRK
10528,Rodions Kurucs,SF,63,20.5,2019BRK
10529,Treveon Graham,SG,35,20.4,2019BRK
10530,Ed Davis,C,81,17.9,2019BRK
10531,Shabazz Napier,PG,56,17.6,2019BRK
10532,Theo Pinson,SG,18,11.7,2019BRK
10533,Kenneth Faried,C,12,9.8,2019BRK
10534,Mitch Creek,SF,4,9.0,2019BRK
10535,Tahjere McCall,SG,1,8.0,2019BRK
10536,Alan Williams,PF,5,5.2,2019BRK
10537,Džanan Musa,SG,9,4.3,2019BRK
10538,Team Totals,,82,243.7,2019BRK
10539,Jrue Holiday,SG,67,35.9,2019NOP
10540,Anthony Davis,C,56,33.0,2019NOP
10541,Julius Randle,PF,73,30.6,2019NOP
10542,Elfrid Payton,PG,42,29.8,2019NOP
10543,Nikola Mirotić,PF,32,28.9,2019NOP
10544,E'Twaun Moore,SG,53,27.6,2019NOP
10545,Darius Miller,SF,69,25.5,2019NOP
10546,Christian Wood,PF,8,23.6,2019NOP
10547,Kenrich Williams,SF,46,23.5,2019NOP
10548,Solomon Hill,SF,44,20.0,2019NOP
10549,Tim Frazier,PG,47,19.3,2019NOP
10550,Frank Jackson,PG,61,19.2,2019NOP
10551,Ian Clark,SG,60,16.2,2019NOP
10552,Jahlil Okafor,C,59,15.8,2019NOP
10553,Wesley Johnson,SF,26,14.5,2019NOP
10554,Cheick Diallo,PF,64,14.0,2019NOP
10555,Dairis Bertāns,SG,12,13.9,2019NOP
10556,Stanley Johnson,SF,18,13.7,2019NOP
10557,Jason Smith,C,2,10.0,2019NOP
10558,Andrew Harrison,PG,6,6.3,2019NOP
10559,Team Totals,,82,240.9,2019NOP
10560,Kemba Walker,PG,82,34.9,2019CHO
10561,Nicolas Batum,SF,75,31.4,2019CHO
10562,Jeremy Lamb,SG,79,28.5,2019CHO
10563,Marvin Williams,PF,75,28.4,2019CHO
10564,Cody Zeller,C,49,25.4,2019CHO
10565,Miles Bridges,SF,80,21.2,2019CHO
10566,Michael Kidd-Gilchrist,PF,64,18.4,2019CHO
10567,Tony Parker,PG,56,17.9,2019CHO
10568,Dwayne Bacon,SG,43,17.7,2019CHO
10569,Malik Monk,SG,73,17.2,2019CHO
10570,Frank Kaminsky,C,47,16.1,2019CHO
10571,Devonte' Graham,PG,46,14.7,2019CHO
10572,Bismack Biyombo,C,54,14.5,2019CHO
10573,Willy Hernangómez,C,58,14.0,2019CHO
10574,Shelvin Mack,PG,4,10.5,2019CHO
10575,J.P. Macura,SG,2,8.5,2019CHO
10576,Joe Chealey,PG,1,8.0,2019CHO
10577,Team Totals,,82,241.8,2019CHO
10578,Jimmy Butler,SF,58,33.8,2020MIA
10579,Bam Adebayo,PF,72,33.6,2020MIA
10580,Justise Winslow,SG,11,32.0,2020MIA
10581,Duncan Robinson,SG,73,29.7,2020MIA
10582,Kendrick Nunn,PG,67,29.3,2020MIA
10583,Goran Dragić,PG,59,28.2,2020MIA
10584,Jae Crowder,PF,20,27.7,2020MIA
10585,Tyler Herro,SG,55,27.4,2020MIA
10586,Derrick Jones Jr.,SF,59,23.3,2020MIA
10587,Meyers Leonard,C,51,20.3,2020MIA
10588,Andre Iguodala,SF,21,19.9,2020MIA
10589,Kelly Olynyk,C,67,19.4,2020MIA
10590,Solomon Hill,PF,11,17.0,2020MIA
10591,James Johnson,PF,18,15.6,2020MIA
10592,Dion Waiters,SG,3,14.0,2020MIA
10593,Udonis Haslem,C,4,11.0,2020MIA
10594,Gabe Vincent,PG,9,9.2,2020MIA
10595,Chris Silva,PF,44,7.9,2020MIA
10596,Kyle Alexander,C,2,6.5,2020MIA
10597,KZ Okpala,PF,5,5.2,2020MIA
10598,Daryl Macon,PG,4,3.5,2020MIA
10599,Team Totals,,73,243.1,2020MIA
10600,Zach LaVine,SF,60,34.8,2020CHI
10601,Lauri Markkanen,PF,50,29.8,2020CHI
10602,Wendell Carter Jr.,C,43,29.2,2020CHI
10603,Tomáš Satoranský,SG,65,28.9,2020CHI
10604,Coby White,PG,65,25.8,2020CHI
10605,Kris Dunn,PG,51,24.9,2020CHI
10606,Thaddeus Young,PF,64,24.9,2020CHI
10607,Otto Porter Jr.,SF,14,23.6,2020CHI
10608,Chandler Hutchison,SF,28,18.8,2020CHI
10609,Cristiano Felício,C,22,17.5,2020CHI
10610,Ryan Arcidiacono,PG,58,16.0,2020CHI
10611,Luke Kornet,C,36,15.5,2020CHI
10612,Daniel Gafford,C,43,14.2,2020CHI
10613,Denzel Valentine,SF,36,13.6,2020CHI
10614,Shaquille Harrison,SG,43,11.3,2020CHI
10615,Adam Mokoka,SF,11,10.2,2020CHI
10616,Max Strus,SF,2,3.0,2020CHI
10617,Team Totals,,65,241.2,2020CHI
10618,Ben Simmons,PG,57,35.4,2020PHI
10619,Tobias Harris,PF,72,34.3,2020PHI
10620,Josh Richardson,SG,55,30.8,2020PHI
10621,Al Horford,C,67,30.2,2020PHI
10622,Joel Embiid,C,51,29.5,2020PHI
10623,Furkan Korkmaz,SG,72,21.7,2020PHI
10624,Alec Burks,SG,18,20.2,2020PHI
10625,Shake Milton,SG,40,20.1,2020PHI
10626,Matisse Thybulle,SG,65,19.8,2020PHI
10627,Glenn Robinson III,SF,14,19.3,2020PHI
10628,Mike Scott,PF,68,17.8,2020PHI
10629,James Ennis III,SF,49,15.8,2020PHI
10630,Trey Burke,PG,25,13.2,2020PHI
10631,Raul Neto,PG,54,12.4,2020PHI
10632,Kyle O'Quinn,C,29,10.8,2020PHI
10633,Norvel Pelle,C,24,9.7,2020PHI
10634,Marial Shayok,SG,4,7.0,2020PHI
10635,Zhaire Smith,SF,7,4.6,2020PHI
10636,Jonah Bolden,C,4,3.5,2020PHI
10637,Team Totals,,73,241.0,2020PHI
10638,Andrew Wiggins,SF,12,33.6,2020GSW
10639,D'Angelo Russell,PG,33,32.1,2020GSW
10640,Glenn Robinson III,SF,48,31.6,2020GSW
10641,Mychal Mulder,SF,7,29.1,2020GSW
10642,Alec Burks,SF,48,29.0,2020GSW
10643,Damion Lee,SG,49,29.0,2020GSW
10644,Draymond Green,PF,43,28.4,2020GSW
10645,Stephen Curry,PG,5,27.8,2020GSW
10646,Eric Paschall,PF,60,27.6,2020GSW
10647,Willie Cauley-Stein,C,41,22.9,2020GSW
10648,Ky Bowman,PG,45,22.6,2020GSW
10649,Jordan Poole,SG,57,22.4,2020GSW
10650,Dragan Bender,PF,9,21.7,2020GSW
10651,Juan Toscano-Anderson,SG,13,20.9,2020GSW
10652,Marquese Chriss,PF,59,20.3,2020GSW
10653,Omari Spellman,C,49,18.1,2020GSW
10654,Jacob Evans,SG,27,15.3,2020GSW
10655,Jeremy Pargo,PG,3,14.7,2020GSW
10656,Chasson Randle,PG,3,13.3,2020GSW
10657,Kevon Looney,C,20,13.1,2020GSW
10658,Zach Norvell,SG,3,12.0,2020GSW
10659,Alen Smailagić,C,14,9.9,2020GSW
10660,Team Totals,,65,241.9,2020GSW
10661,Jayson Tatum,PF,66,34.3,2020BOS
10662,Jaylen Brown,SG,57,33.9,2020BOS
10663,Gordon Hayward,SF,52,33.5,2020BOS
10664,Marcus Smart,SG,60,32.0,2020BOS
10665,Kemba Walker,PG,56,31.1,2020BOS
10666,Daniel Theis,C,65,24.1,2020BOS
10667,Brad Wanamaker,PG,71,19.3,2020BOS
10668,Enes Freedom,C,58,16.9,2020BOS
10669,Grant Williams,PF,69,15.1,2020BOS
10670,Semi Ojeleye,PF,69,14.7,2020BOS
10671,Robert Williams,C,29,13.4,2020BOS
10672,Romeo Langford,SG,32,11.6,2020BOS
10673,Tremont Waters,PG,11,10.8,2020BOS
10674,Javonte Green,SG,48,9.8,2020BOS
10675,Carsen Edwards,SG,37,9.5,2020BOS
10676,Vincent Poirier,C,22,5.9,2020BOS
10677,Tacko Fall,C,7,4.7,2020BOS
10678,Team Totals,,72,242.1,2020BOS
10679,Domantas Sabonis,PF,62,34.8,2020IND
10680,T.J. Warren,SF,67,32.9,2020IND
10681,Malcolm Brogdon,PG,54,30.9,2020IND
10682,Myles Turner,C,62,29.5,2020IND
10683,Jeremy Lamb,SG,46,28.1,2020IND
10684,Victor Oladipo,SG,19,27.8,2020IND
10685,Justin Holiday,SF,73,25.0,2020IND
10686,Aaron Holiday,PG,66,24.5,2020IND
10687,Doug McDermott,PF,69,19.9,2020IND
10688,T.J. McConnell,PG,71,18.7,2020IND
10689,Edmond Sumner,SG,31,14.4,2020IND
10690,JaKarr Sampson,PF,34,13.9,2020IND
10691,Naz Mitrou-Long,SG,5,9.4,2020IND
10692,Goga Bitadze,C,54,8.7,2020IND
10693,T.J. Leaf,PF,28,7.9,2020IND
10694,Alize Johnson,PF,17,6.9,2020IND
10695,Brian Bowen,SF,6,5.2,2020IND
10696,Team Totals,,73,241.4,2020IND
10697,Trae Young,PG,60,35.3,2020ATL
10698,John Collins,PF,41,33.2,2020ATL
10699,De'Andre Hunter,SF,63,32.0,2020ATL
10700,Kevin Huerter,SG,56,31.4,2020ATL
10701,Cam Reddish,SF,58,26.7,2020ATL
10702,Jabari Parker,PF,32,26.2,2020ATL
10703,Dewayne Dedmon,C,10,23.3,2020ATL
10704,DeAndre' Bembry,SG,43,21.3,2020ATL
10705,Jeff Teague,PG,25,20.8,2020ATL
10706,Allen Crabbe,SG,28,18.6,2020ATL
10707,Alex Len,C,40,18.6,2020ATL
10708,Damian Jones,C,55,16.1,2020ATL
10709,Vince Carter,PF,60,14.6,2020ATL
10710,Evan Turner,SG,19,13.2,2020ATL
10711,Bruno Fernando,C,56,12.7,2020ATL
10712,Brandon Goodwin,PG,34,12.6,2020ATL
10713,Treveon Graham,SF,22,12.1,2020ATL
10714,Tyrone Wallace,SG,14,11.4,2020ATL
10715,Chandler Parsons,PF,5,10.8,2020ATL
10716,Paul Watson,SF,2,8.5,2020ATL
10717,Charlie Brown Jr.,SG,10,4.0,2020ATL
10718,Team Totals,,67,243.0,2020ATL
10719,Julius Randle,PF,64,32.5,2020NYK
10720,Marcus Morris,SF,43,32.3,2020NYK
10721,RJ Barrett,SG,56,30.4,2020NYK
10722,Elfrid Payton,PG,45,27.7,2020NYK
10723,Maurice Harkless,SF,12,23.8,2020NYK
10724,Reggie Bullock,SG,29,23.6,2020NYK
10725,Mitchell Robinson,C,61,23.1,2020NYK
10726,Bobby Portis,PF,66,21.1,2020NYK
10727,Frank Ntilikina,PG,57,20.8,2020NYK
10728,Kevin Knox,SF,65,17.9,2020NYK
10729,Damyean Dotson,SG,48,17.4,2020NYK
10730,Taj Gibson,C,62,16.5,2020NYK
10731,Dennis Smith Jr.,PG,34,15.8,2020NYK
10732,Wayne Ellington,SG,36,15.5,2020NYK
10733,Allonzo Trier,SG,24,12.1,2020NYK
10734,Kadeem Allen,PG,10,11.7,2020NYK
10735,Ignas Brazdeikis,SF,9,5.9,2020NYK
10736,Team Totals,,66,241.9,2020NYK
10737,Kyle Lowry,PG,58,36.2,2020TOR
10738,Fred VanVleet,SG,54,35.7,2020TOR
10739,Pascal Siakam,PF,60,35.2,2020TOR
10740,OG Anunoby,SF,69,29.9,2020TOR
10741,Norman Powell,SG,52,28.4,2020TOR
10742,Serge Ibaka,C,55,27.0,2020TOR
10743,Marc Gasol,C,44,26.4,2020TOR
10744,Patrick McCaw,SF,37,24.5,2020TOR
10745,Rondae Hollis-Jefferson,PF,60,18.7,2020TOR
10746,Terence Davis,SG,72,16.8,2020TOR
10747,Chris Boucher,C,62,13.2,2020TOR
10748,Matt Thomas,SG,41,10.7,2020TOR
10749,Paul Watson,SF,8,8.8,2020TOR
10750,Oshae Brissett,SF,19,7.1,2020TOR
10751,Stanley Johnson,PF,25,6.0,2020TOR
10752,Malcolm Miller,SF,28,5.8,2020TOR
10753,Dewan Hernandez,C,6,4.7,2020TOR
10754,Shamorie Ponds,PG,4,2.8,2020TOR
10755,Team Totals,,72,241.4,2020TOR
10756,Collin Sexton,PG,65,33.0,2020CLE
10757,Kevin Love,PF,56,31.8,2020CLE
10758,Darius Garland,SG,59,30.9,2020CLE
10759,Tristan Thompson,C,57,30.2,2020CLE
10760,Cedi Osman,SF,65,29.4,2020CLE
10761,Andre Drummond,C,8,28.1,2020CLE
10762,Larry Nance Jr.,PF,56,26.3,2020CLE
10763,Kevin Porter Jr.,SF,50,23.2,2020CLE
10764,Jordan Clarkson,SG,29,23.0,2020CLE
10765,Dante Exum,SG,24,16.8,2020CLE
10766,Brandon Knight,SG,16,15.1,2020CLE
10767,Alfonzo McKinnie,SF,40,14.8,2020CLE
10768,Matthew Dellavedova,PG,57,14.4,2020CLE
10769,John Henson,C,29,14.2,2020CLE
10770,Ante Žižić,C,22,10.0,2020CLE
10771,Dean Wade,PF,12,5.9,2020CLE
10772,Matt Mooney,SG,4,4.8,2020CLE
10773,Malik Newman,SG,1,4.0,2020CLE
10774,Tyler Cook,PF,11,3.2,2020CLE
10775,Marques Bolden,C,1,3.0,2020CLE
10776,J.P. Macura,SG,1,1.0,2020CLE
10777,Team Totals,,65,241.9,2020CLE
10778,Aaron Gordon,PF,62,32.5,2020ORL
10779,Nikola Vučević,C,62,32.2,2020ORL
10780,Evan Fournier,SF,66,31.5,2020ORL
10781,Jonathan Isaac,PF,34,28.8,2020ORL
10782,Markelle Fultz,PG,72,27.7,2020ORL
10783,Terrence Ross,SG,69,27.4,2020ORL
10784,D.J. Augustin,PG,57,24.9,2020ORL
10785,James Ennis III,SG,20,24.5,2020ORL
10786,Al-Farouq Aminu,PF,18,21.1,2020ORL
10787,Khem Birch,C,48,19.2,2020ORL
10788,Michael Carter-Williams,SG,45,18.5,2020ORL
10789,Wes Iwundu,SF,52,18.3,2020ORL
10790,Gary Clark,SF,24,14.8,2020ORL
10791,Mo Bamba,C,62,14.2,2020ORL
10792,B.J. Johnson,SF,10,8.3,2020ORL
10793,Vic Law,PF,8,7.8,2020ORL
10794,Melvin Frazier,SG,19,6.6,2020ORL
10795,Josh Magette,PG,8,4.8,2020ORL
10796,Amile Jefferson,PF,18,4.1,2020ORL
10797,Team Totals,,73,240.7,2020ORL
10798,Devin Booker,SG,70,35.9,2020PHO
10799,Kelly Oubre Jr.,SF,56,34.5,2020PHO
10800,Deandre Ayton,C,38,32.5,2020PHO
10801,Ricky Rubio,PG,65,31.0,2020PHO
10802,Mikal Bridges,SF,73,28.0,2020PHO
10803,Dario Šarić,PF,66,24.7,2020PHO
10804,Cameron Payne,SG,8,22.9,2020PHO
10805,Aron Baynes,C,42,22.2,2020PHO
10806,Cameron Johnson,PF,57,22.0,2020PHO
10807,Frank Kaminsky,C,39,19.9,2020PHO
10808,Tyler Johnson,PG,31,16.6,2020PHO
10809,Jevon Carter,PG,58,16.3,2020PHO
10810,Elie Okobo,PG,55,13.1,2020PHO
10811,Jonah Bolden,C,3,11.0,2020PHO
10812,Ty Jerome,SG,31,10.6,2020PHO
10813,Cheick Diallo,C,47,10.2,2020PHO
10814,Jalen Lecque,SG,5,6.4,2020PHO
10815,Tariq Owens,PF,3,5.0,2020PHO
10816,Jared Harper,PG,3,2.7,2020PHO
10817,Team Totals,,73,241.0,2020PHO
10818,Will Barton,SF,58,33.0,2020DEN
10819,Jamal Murray,PG,59,32.3,2020DEN
10820,Nikola Jokić,C,73,32.0,2020DEN
10821,Gary Harris,SG,56,31.8,2020DEN
10822,Jerami Grant,PF,71,26.6,2020DEN
10823,Paul Millsap,PF,51,24.3,2020DEN
10824,Monte Morris,PG,73,22.4,2020DEN
10825,Torrey Craig,SF,58,18.5,2020DEN
10826,Malik Beasley,SG,41,18.2,2020DEN
10827,Mason Plumlee,C,61,17.3,2020DEN
10828,Michael Porter Jr.,SF,55,16.4,2020DEN
10829,PJ Dozier,SG,29,14.2,2020DEN
10830,Keita Bates-Diop,SF,7,14.0,2020DEN
10831,Troy Daniels,SG,6,12.7,2020DEN
10832,Juancho Hernangómez,PF,34,12.4,2020DEN
10833,Bol Bol,PF,7,12.4,2020DEN
10834,Tyler Cook,SF,2,9.5,2020DEN
10835,Jordan McRae,SG,4,8.0,2020DEN
10836,Jarred Vanderbilt,PF,9,4.6,2020DEN
10837,Noah Vonleh,C,7,4.3,2020DEN
10838,Vlatko Čančar,PF,14,3.2,2020DEN
10839,Team Totals,,73,243.1,2020DEN
10840,James Harden,SG,68,36.5,2020HOU
10841,Russell Westbrook,PG,57,35.9,2020HOU
10842,P.J. Tucker,PF,72,34.3,2020HOU
10843,Robert Covington,C,22,33.0,2020HOU
10844,Clint Capela,C,39,32.8,2020HOU
10845,Danuel House Jr.,SF,63,30.4,2020HOU
10846,Eric Gordon,SF,36,28.2,2020HOU
10847,Austin Rivers,SG,68,23.4,2020HOU
10848,Ben McLemore,SF,71,22.8,2020HOU
10849,Jeff Green,C,18,22.6,2020HOU
10850,DeMarre Carroll,C,9,17.2,2020HOU
10851,Gary Clark,PF,18,11.8,2020HOU
10852,Isaiah Hartenstein,C,23,11.6,2020HOU
10853,Michael Frazier,SG,13,11.2,2020HOU
10854,Thabo Sefolosha,PF,41,10.6,2020HOU
10855,Chris Clemons,SG,33,8.8,2020HOU
10856,Tyson Chandler,C,26,8.4,2020HOU
10857,Luc Mbah a Moute,PF,3,8.3,2020HOU
10858,Ryan Anderson,C,2,7.0,2020HOU
10859,William Howard,PF,2,6.5,2020HOU
10860,Bruno Caboclo,C,8,6.5,2020HOU
10861,Team Totals,,72,241.4,2020HOU
10862,Andrew Wiggins,SF,42,34.6,2020MIN
10863,Karl-Anthony Towns,C,35,33.9,2020MIN
10864,Malik Beasley,SG,14,33.1,2020MIN
10865,D'Angelo Russell,PG,12,32.7,2020MIN
10866,Robert Covington,PF,48,29.4,2020MIN
10867,Juancho Hernangómez,PF,14,29.4,2020MIN
10868,Jeff Teague,PG,34,27.8,2020MIN
10869,Josh Okogie,SG,62,25.0,2020MIN
10870,James Johnson,C,14,24.1,2020MIN
10871,Jarrett Culver,SG,63,23.9,2020MIN
10872,Shabazz Napier,PG,36,23.8,2020MIN
10873,Jake Layman,SF,23,22.0,2020MIN
10874,Treveon Graham,SF,33,20.1,2020MIN
10875,Jordan McLaughlin,PG,30,19.7,2020MIN
10876,Keita Bates-Diop,PF,37,17.5,2020MIN
10877,Gorgui Dieng,C,46,16.9,2020MIN
10878,Naz Reid,C,30,16.5,2020MIN
10879,Kelan Martin,SF,31,16.0,2020MIN
10880,Allen Crabbe,SF,9,14.6,2020MIN
10881,Noah Vonleh,C,29,12.0,2020MIN
10882,Jaylen Nowell,SG,15,10.1,2020MIN
10883,Jordan Bell,C,27,8.7,2020MIN
10884,Jarred Vanderbilt,PF,2,2.5,2020MIN
10885,Jacob Evans,SG,2,2.0,2020MIN
10886,Team Totals,,64,243.1,2020MIN
10887,DeMar DeRozan,SF,68,34.1,2020SAS
10888,LaMarcus Aldridge,C,53,33.1,2020SAS
10889,Dejounte Murray,PG,66,25.6,2020SAS
10890,Bryn Forbes,SG,63,25.1,2020SAS
10891,Derrick White,SG,68,24.7,2020SAS
10892,Patty Mills,PG,66,22.5,2020SAS
10893,Rudy Gay,PF,67,21.8,2020SAS
10894,Trey Lyles,PF,63,20.2,2020SAS
10895,Keldon Johnson,SF,17,17.7,2020SAS
10896,Jakob Poeltl,C,66,17.7,2020SAS
10897,Lonnie Walker IV,SG,61,16.2,2020SAS
10898,Luka Šamanić,PF,3,16.0,2020SAS
10899,Marco Belinelli,SG,57,15.5,2020SAS
10900,Drew Eubanks,C,22,12.4,2020SAS
10901,DeMarre Carroll,SF,15,9.0,2020SAS
10902,Quinndary Weatherspoon,SG,11,7.1,2020SAS
10903,Chimezie Metu,C,18,5.8,2020SAS
10904,Tyler Zeller,C,2,2.0,2020SAS
10905,Team Totals,,71,242.5,2020SAS
10906,Damian Lillard,PG,66,37.5,2020POR
10907,CJ McCollum,SG,70,36.5,2020POR
10908,Trevor Ariza,SF,21,33.4,2020POR
10909,Carmelo Anthony,PF,58,32.8,2020POR
10910,Jusuf Nurkić,C,8,31.6,2020POR
10911,Hassan Whiteside,C,67,30.0,2020POR
10912,Rodney Hood,SF,21,29.5,2020POR
10913,Zach Collins,PF,11,26.4,2020POR
10914,Kent Bazemore,SF,43,25.8,2020POR
10915,Gary Trent Jr.,SF,61,21.8,2020POR
10916,Anfernee Simons,SG,70,20.7,2020POR
10917,Skal Labissière,C,33,17.2,2020POR
10918,Anthony Tolliver,PF,33,16.8,2020POR
10919,Mario Hezonja,PF,53,16.4,2020POR
10920,Caleb Swanigan,PF,20,13.3,2020POR
10921,Nassir Little,PF,48,11.9,2020POR
10922,Wenyen Gabriel,PF,19,9.2,2020POR
10923,Jaylen Hoard,PF,13,7.9,2020POR
10924,Moses Brown,C,9,3.7,2020POR
10925,Team Totals,,74,241.0,2020POR
10926,Harrison Barnes,PF,72,34.5,2020SAC
10927,De'Aaron Fox,PG,51,32.0,2020SAC
10928,Buddy Hield,SG,72,30.8,2020SAC
10929,Bogdan Bogdanović,SG,61,29.0,2020SAC
10930,Richaun Holmes,C,44,28.2,2020SAC
10931,Nemanja Bjelica,PF,72,27.9,2020SAC
10932,Marvin Bagley III,C,13,25.7,2020SAC
10933,Trevor Ariza,SF,32,24.7,2020SAC
10934,Cory Joseph,PG,72,24.4,2020SAC
10935,Kent Bazemore,SF,25,23.1,2020SAC
10936,Eric Mika,C,1,19.0,2020SAC
10937,Dewayne Dedmon,C,34,15.9,2020SAC
10938,Alex Len,C,15,15.0,2020SAC
10939,Harry Giles,C,46,14.5,2020SAC
10940,Jabari Parker,PF,6,13.3,2020SAC
10941,DaQuan Jeffries,SG,13,10.8,2020SAC
10942,Yogi Ferrell,PG,50,10.6,2020SAC
10943,Anthony Tolliver,PF,9,9.1,2020SAC
10944,Corey Brewer,PF,5,6.6,2020SAC
10945,Justin James,SF,36,6.4,2020SAC
10946,Wenyen Gabriel,PF,11,5.5,2020SAC
10947,Kyle Guy,SG,3,3.3,2020SAC
10948,Caleb Swanigan,C,7,3.3,2020SAC
10949,Team Totals,,72,242.4,2020SAC
10950,Andre Drummond,C,49,33.8,2020DET
10951,Luke Kennard,SG,28,32.9,2020DET
10952,Blake Griffin,PF,18,28.4,2020DET
10953,Bruce Brown,PG,58,28.2,2020DET
10954,Tony Snell,SF,59,27.8,2020DET
10955,Reggie Jackson,PG,14,27.2,2020DET
10956,Derrick Rose,PG,50,26.0,2020DET
10957,Langston Galloway,SG,66,25.8,2020DET
10958,Brandon Knight,PG,9,24.6,2020DET
10959,Jordan McRae,SG,4,24.5,2020DET
10960,Svi Mykhailiuk,SF,56,22.6,2020DET
10961,Markieff Morris,PF,44,22.5,2020DET
10962,Christian Wood,PF,62,21.4,2020DET
10963,Sekou Doumbouya,PF,38,19.8,2020DET
10964,John Henson,C,11,17.1,2020DET
10965,Tim Frazier,PG,27,13.1,2020DET
10966,Thon Maker,C,60,12.9,2020DET
10967,Donta Hall,PF,4,12.0,2020DET
10968,Derrick Walton,PG,3,8.7,2020DET
10969,Khyri Thomas,SG,8,7.6,2020DET
10970,Louis King,SF,10,6.2,2020DET
10971,Jordan Bone,PG,10,5.3,2020DET
10972,Team Totals,,66,241.9,2020DET
10973,Luka Dončić,PG,61,33.6,2020DAL
10974,Kristaps Porziņģis,C,57,31.8,2020DAL
10975,Dorian Finney-Smith,PF,71,29.9,2020DAL
10976,Tim Hardaway Jr.,SG,71,29.5,2020DAL
10977,Dwight Powell,C,40,26.5,2020DAL
10978,Maxi Kleber,PF,74,25.5,2020DAL
10979,Seth Curry,SG,64,24.6,2020DAL
10980,Trey Burke,PG,8,23.9,2020DAL
10981,Delon Wright,PG,73,21.5,2020DAL
10982,Jalen Brunson,PG,57,17.9,2020DAL
10983,Justin Jackson,PF,65,16.1,2020DAL
10984,J.J. Barea,PG,29,15.5,2020DAL
10985,Courtney Lee,SG,24,14.4,2020DAL
10986,Willie Cauley-Stein,C,13,12.1,2020DAL
10987,Ryan Broekhoff,SF,17,10.6,2020DAL
10988,Boban Marjanović,C,44,9.6,2020DAL
10989,Michael Kidd-Gilchrist,PF,13,9.3,2020DAL
10990,Josh Reaves,SF,4,7.0,2020DAL
10991,Antonius Cleveland,SG,11,4.2,2020DAL
10992,Team Totals,,75,242.3,2020DAL
10993,LeBron James,PG,67,34.6,2020LAL
10994,Anthony Davis,PF,62,34.4,2020LAL
10995,Kentavious Caldwell-Pope,SG,69,25.5,2020LAL
10996,Kyle Kuzma,PF,61,25.0,2020LAL
10997,Danny Green,SG,68,24.8,2020LAL
10998,Avery Bradley,SG,49,24.2,2020LAL
10999,Dion Waiters,SG,7,23.6,2020LAL
11000,Rajon Rondo,PG,48,20.5,2020LAL
11001,Dwight Howard,C,69,18.9,2020LAL
11002,Alex Caruso,PG,64,18.4,2020LAL
11003,JaVale McGee,C,68,16.6,2020LAL
11004,Markieff Morris,PF,14,14.2,2020LAL
11005,Talen Horton-Tucker,SG,6,13.5,2020LAL
11006,J.R. Smith,SG,6,13.2,2020LAL
11007,Quinn Cook,PG,44,11.5,2020LAL
11008,Troy Daniels,SG,41,11.1,2020LAL
11009,Devontae Cacok,C,1,9.0,2020LAL
11010,Jared Dudley,PF,45,8.1,2020LAL
11011,Kostas Antetokounmpo,PF,5,4.0,2020LAL
11012,Zach Norvell,SG,2,2.5,2020LAL
11013,Team Totals,,71,240.7,2020LAL
11014,Kawhi Leonard,SF,57,32.4,2020LAC
11015,Paul George,SF,48,29.6,2020LAC
11016,Marcus Morris,PF,19,28.9,2020LAC
11017,Lou Williams,PG,65,28.7,2020LAC
11018,Montrezl Harrell,C,63,27.8,2020LAC
11019,Landry Shamet,SG,53,27.4,2020LAC
11020,Patrick Beverley,PG,51,26.3,2020LAC
11021,Maurice Harkless,PF,50,22.8,2020LAC
11022,Reggie Jackson,PG,17,21.3,2020LAC
11023,JaMychal Green,PF,63,20.7,2020LAC
11024,Ivica Zubac,C,72,18.4,2020LAC
11025,Rodney McGruder,SG,56,15.6,2020LAC
11026,Patrick Patterson,PF,59,13.2,2020LAC
11027,Jerome Robinson,SG,42,11.3,2020LAC
11028,Joakim Noah,C,5,10.0,2020LAC
11029,Derrick Walton,PG,23,9.7,2020LAC
11030,Terance Mann,SF,41,8.8,2020LAC
11031,Amir Coffey,SG,18,8.8,2020LAC
11032,Mfiondu Kabengele,C,12,5.3,2020LAC
11033,Johnathan Motley,PF,13,3.2,2020LAC
11034,Team Totals,,72,241.4,2020LAC
11035,Rudy Gobert,C,68,34.3,2020UTA
11036,Donovan Mitchell,SG,69,34.3,2020UTA
11037,Bojan Bogdanović,SF,63,33.1,2020UTA
11038,Joe Ingles,PF,72,29.7,2020UTA
11039,Mike Conley,PG,47,29.0,2020UTA
11040,Royce O'Neale,SF,71,28.9,2020UTA
11041,Jordan Clarkson,SG,42,24.7,2020UTA
11042,Jeff Green,PF,30,18.4,2020UTA
11043,Emmanuel Mudiay,PG,54,15.7,2020UTA
11044,Georges Niang,PF,66,14.0,2020UTA
11045,Tony Bradley,C,58,11.4,2020UTA
11046,Justin Wright-Foreman,PG,4,11.3,2020UTA
11047,Miye Oni,SF,10,10.9,2020UTA
11048,Ed Davis,C,28,10.8,2020UTA
11049,Jarrell Brantley,PF,9,10.7,2020UTA
