,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
105,Terance Mann,LAC,6,2,4,31.2,9.3,40.5,25.2,1.9,2.85,2.02,0.23,1.0,0.0,4.2,1.0,0.0,0.72,2.3,0.3,0.7,50.0,0.0,0.0,0.0,28.6,1.5,64.3,0.0,0.0,0.2,7.1,0.0,0.0,0.7,50.0,4.0,50.0,1.3,30.0,3.0,66.7,0.0,0.0,1.0,33.3,52.2
106,Thaddeus Young,PHX,1,0,1,3.6,0.0,4.0,1.0,0.1,2.01,1.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Thanasis Antetokounmpo,MIL,2,0,2,2.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Thomas Bryant,MIA,2,0,2,8.9,6.0,15.5,11.0,0.7,2.69,0.71,0.387,1.0,1.5,1.5,2.0,1.667,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.5,100.0,2.0,100.0,71.4
109,Tim Hardaway Jr.,DAL,14,8,6,12.7,4.4,16.1,7.2,0.6,2.24,1.55,0.271,0.1,0.0,0.3,1.0,0.0,1.75,0.9,0.4,0.4,100.0,0.0,0.1,0.0,100.0,0.3,33.3,0.1,8.3,0.1,8.3,0.1,8.3,0.9,100.0,1.5,30.4,1.6,33.3,0.5,75.0,0.0,0.0,0.1,100.0,49.1
110,Tobias Harris,PHI,6,2,4,36.4,9.0,33.2,18.0,1.5,2.8,2.02,0.271,0.3,0.8,2.5,0.0,0.8,0.8,3.0,0.7,1.5,44.4,0.0,0.0,0.0,44.4,1.2,38.9,0.2,5.6,0.2,5.6,0.0,0.0,1.3,44.4,3.0,35.3,1.0,21.4,2.0,55.6,0.7,50.0,0.0,0.0,49.0
111,Trey Murphy III,NOP,4,0,4,42.0,11.5,55.5,33.0,2.0,2.11,1.4,0.207,0.8,0.0,1.5,1.333,0.0,1.0,6.0,0.8,2.5,30.0,0.0,0.0,0.0,25.0,3.3,54.2,0.8,12.5,0.0,0.0,0.0,0.0,1.5,30.0,6.0,42.1,3.0,31.3,1.5,75.0,0.0,0.0,1.0,100.0,47.9
112,Tristan Thompson,CLE,10,3,7,8.7,1.5,11.0,6.5,0.3,1.9,0.74,0.136,1.0,0.2,1.8,0.4,1.0,0.333,0.6,0.1,0.5,20.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,20.0,0.0,0.0,0.0,0.0,0.6,37.5,0.2,50.0,0.4,50.0,43.8
113,Wendell Carter Jr.,ORL,7,3,4,26.4,7.6,29.7,19.3,0.7,1.35,0.34,0.255,0.9,0.4,3.3,0.0,0.0,0.87,1.4,0.3,0.6,50.0,0.0,0.0,0.0,40.0,0.4,30.0,0.1,10.0,0.3,20.0,0.0,0.0,0.6,50.0,3.6,31.0,0.3,50.0,2.9,58.3,0.0,0.0,0.0,0.0,47.9
114,Xavier Tillman,BOS,8,6,2,8.6,1.5,10.8,4.6,0.3,1.42,0.45,0.14,0.1,0.0,0.9,0.0,0.0,0.286,0.4,0.1,0.3,50.0,0.0,0.0,0.0,100.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,50.0,0.4,100.0,0.0,0.0,0.3,33.3,0.0,0.0,0.0,0.0,68.8
115,Zeke Nnaji,DEN,3,1,2,4.7,1.7,6.0,5.3,0.2,2.12,0.89,0.278,0.7,0.3,0.7,0.0,0.0,2.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,100.0,0.0,0.0,0.0,0.0,66.7
