,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
162,Jeff Green,52,4.0,9.4,3.0,1.3,3.5,1.5,0.6,0.6,2.0,2.5
395,Jeff McInnis,26,2.0,4.6,0.6,0.3,1.5,4.1,0.4,0.1,1.4,2.2
621,Jelani McCoy,1,0.2,0.2,0.3,0.2,1.0,0.0,0.0,0.8,0.7,1.2
574,Jeremy Richardson,1,0.6,1.6,0.1,0.0,0.3,0.1,0.1,0.0,0.2,0.5
93,Jermaine O'Neal,34,5.4,12.2,3.9,2.0,4.8,2.2,0.5,2.1,2.5,3.1
471,Jermareo Davidson,2,1.3,3.3,0.7,0.6,1.1,0.3,0.2,0.4,0.4,1.2
537,Jerome James,0,0.5,0.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
155,Jerry Stackhouse,13,3.7,9.1,2.6,0.6,1.7,2.5,0.5,0.2,1.5,1.4
286,Joakim Noah,31,2.4,5.0,2.6,2.4,3.3,1.1,0.9,0.9,1.2,2.3
15,Joe Johnson,82,7.9,18.3,4.6,1.0,3.5,5.8,1.0,0.2,2.7,2.0
166,Joe Smith,36,4.1,8.5,2.6,2.1,3.1,0.9,0.4,0.6,0.9,2.4
455,Joel Anthony,1,1.2,2.5,2.0,1.6,2.3,0.1,0.4,1.3,0.7,2.3
383,Joel Przybilla,67,1.9,3.2,1.6,2.5,5.9,0.4,0.2,1.2,1.2,3.0
448,Joey Graham,3,1.3,3.0,1.2,0.5,1.3,0.4,0.1,0.0,0.6,1.2
305,Johan Petro,28,2.6,6.1,1.2,1.4,3.8,0.4,0.5,0.6,1.0,2.4
112,John Salmons,41,4.7,9.9,3.2,0.9,3.4,2.6,1.1,0.4,2.1,2.1
193,Jordan Farmar,0,3.5,7.7,1.0,0.5,1.8,2.7,0.9,0.1,1.3,1.3
474,Jorge Garbajosa,0,1.1,3.6,0.0,0.3,1.9,0.4,0.4,0.0,0.1,0.3
221,Josh Boone,53,3.4,6.2,3.1,2.7,4.5,0.8,0.5,0.9,1.0,2.2
132,Josh Childress,0,4.3,7.5,3.6,2.3,2.6,1.5,0.9,0.6,1.3,1.7
32,Josh Howard,76,7.5,16.4,5.1,1.6,5.4,2.2,0.8,0.4,1.5,2.7
579,Josh McRoberts,0,0.8,1.3,0.0,0.3,1.0,0.3,0.1,0.0,0.3,0.1
342,Josh Powell,25,2.3,4.9,1.4,1.8,3.4,0.7,0.2,0.4,1.0,2.0
57,Josh Smith,81,6.4,14.0,5.8,2.0,6.2,3.4,1.5,2.8,3.0,3.3
144,José Calderón,56,4.5,8.6,1.5,0.4,2.5,8.3,1.1,0.1,1.5,1.6
149,Juan Carlos Navarro,30,3.8,9.3,1.8,0.4,2.1,2.2,0.6,0.0,1.6,1.1
364,Juan Dixon,0,2.0,4.9,0.5,0.3,1.1,1.8,0.4,0.0,1.0,1.2
425,Julian Wright,1,1.6,3.0,0.9,0.6,1.5,0.7,0.5,0.2,0.6,0.8
571,Justin Williams,0,0.6,1.3,1.1,0.9,1.3,0.0,0.2,0.2,0.2,0.7
596,Juwan Howard,0,0.5,1.3,0.3,0.4,1.2,0.3,0.1,0.0,0.3,1.2
622,Kaniel Dickens,0,0.2,0.6,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2
220,Kareem Rush,15,3.2,8.0,0.6,0.3,2.1,1.3,0.6,0.3,0.9,1.5
250,Kasib Powell,4,3.2,8.6,0.8,0.7,3.3,1.6,0.8,0.2,0.5,1.6
205,Keith Bogans,35,2.9,7.2,1.3,0.5,2.7,1.3,0.7,0.1,0.6,2.0
