,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
69,Michael Kidd-Gilchrist,CHA,4,0,4,22.7,8.5,25.0,19.0,0.8,1.93,1.2,0.34,0.5,0.5,3.8,2.5,1.5,0.6,2.0,1.0,1.5,66.7,0.3,0.5,50.0,112.5,0.0,0.0,0.0,0.0,0.3,12.5,0.3,12.5,2.3,66.7,0.5,50.0,0.5,100.0,2.3,33.3,0.8,100.0,1.3,100.0,51.9
70,Mike Dunleavy,CHI,5,1,4,32.6,13.2,36.8,31.0,1.2,1.92,0.88,0.359,0.4,0.0,1.8,0.0,0.0,1.333,2.8,0.6,1.2,50.0,0.4,0.8,50.0,64.3,1.0,35.7,0.2,7.1,0.0,0.0,0.4,14.3,1.8,50.0,6.2,44.0,2.2,33.3,2.4,85.7,0.0,0.0,0.0,0.0,58.5
71,Mike Miller,MEM,7,3,4,24.7,7.3,39.3,24.6,1.2,1.84,0.71,0.185,0.6,0.0,0.0,0.0,0.0,0.0,1.6,0.1,0.9,16.7,0.3,0.6,50.0,36.4,0.4,27.3,0.0,0.0,0.0,0.0,0.3,18.2,0.6,16.7,5.6,44.8,0.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4
72,Mike Scott,ATL,7,3,4,20.9,9.4,25.7,18.3,0.6,1.4,0.38,0.367,2.3,2.4,2.3,0.563,0.588,1.125,0.4,0.1,0.1,100.0,0.0,0.0,0.0,66.7,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,4.6,29.7,0.3,50.0,2.6,45.5,1.4,50.0,1.3,50.0,44.4
73,Mirza Teletovic,BKN,12,5,7,18.3,8.3,29.3,17.2,0.7,1.4,0.33,0.282,0.4,0.2,1.1,0.4,0.0,1.231,1.3,0.2,0.3,50.0,0.1,0.2,50.0,33.3,0.7,53.3,0.1,6.7,0.1,6.7,0.1,6.7,0.4,50.0,4.6,35.8,0.7,33.3,1.3,77.8,0.0,0.0,0.2,50.0,55.5
74,Nene,WAS,10,5,5,32.5,13.7,53.1,40.2,1.7,1.95,0.51,0.258,7.1,8.1,3.8,0.38,0.333,0.5,2.3,0.7,1.3,53.8,0.0,0.0,0.0,60.9,0.4,17.4,0.2,8.7,0.2,8.7,0.1,4.3,1.4,53.8,6.0,44.1,1.2,54.5,1.9,38.9,2.7,40.0,2.7,42.9,46.4
75,Nick Collison,OKC,17,8,9,10.8,1.9,16.4,8.3,0.4,1.54,0.53,0.118,1.1,0.0,1.9,0.333,0.0,0.469,0.6,0.1,0.1,100.0,0.1,0.2,50.0,40.0,0.3,50.0,0.0,0.0,0.1,20.0,0.1,20.0,0.2,100.0,0.7,41.7,0.0,0.0,0.9,40.0,0.0,0.0,0.4,66.7,44.8
76,Nicolas Batum,POR,11,5,6,41.7,15.2,77.3,44.7,3.8,2.93,2.06,0.196,0.3,0.5,1.4,0.667,0.833,0.933,5.5,1.5,3.1,50.0,0.0,0.0,0.0,55.7,1.5,27.9,0.5,9.8,0.1,1.6,0.1,1.6,3.1,50.0,4.6,37.8,4.4,40.0,1.3,70.0,0.5,100.0,0.2,50.0,54.6
77,Otto Porter Jr.,WAS,3,1,2,2.0,0.7,1.7,1.7,0.1,2.65,1.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,33.3
78,Patrick Patterson,TOR,7,3,4,28.5,10.4,42.1,22.9,1.0,1.45,0.52,0.247,1.4,1.0,2.9,0.6,0.571,0.8,1.6,0.6,0.7,80.0,0.0,0.0,0.0,72.7,0.9,54.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,80.0,4.4,46.2,1.1,66.7,2.3,55.6,0.6,50.0,0.9,75.0,61.5
79,Paul George,IND,19,10,9,41.1,22.6,69.4,46.5,3.8,3.3,2.27,0.325,2.3,1.8,1.9,0.273,0.286,0.917,8.4,1.4,2.7,51.9,1.9,2.3,84.1,59.1,2.8,33.3,0.9,10.7,0.5,5.7,1.2,14.5,4.9,51.9,7.1,39.5,4.5,33.0,1.7,63.6,0.5,55.6,0.6,16.7,52.1
80,Paul Millsap,ATL,7,3,4,38.2,19.4,82.0,53.1,2.9,2.12,1.1,0.237,3.3,6.9,5.3,0.261,0.625,0.676,8.6,1.0,2.9,35.0,1.4,1.4,100.0,40.0,3.7,43.3,0.4,5.0,0.6,6.7,0.7,8.3,3.4,35.0,3.4,25.8,1.9,31.6,3.6,62.5,4.3,44.4,0.9,50.0,44.2
81,Paul Pierce,BKN,12,5,7,30.7,13.7,51.1,31.1,1.7,1.96,0.83,0.268,0.3,0.4,0.6,0.5,0.4,1.0,6.3,1.7,2.5,66.7,0.8,1.2,64.3,68.4,1.9,30.3,0.6,9.2,0.4,6.6,0.6,9.2,4.3,66.7,5.3,37.3,2.0,33.3,0.6,100.0,0.2,25.0,0.2,33.3,53.9
82,Perry Jones III,OKC,11,5,6,5.0,1.5,6.5,4.0,0.2,1.92,0.75,0.236,0.7,0.0,0.4,0.25,0.0,0.5,0.5,0.2,0.4,50.0,0.0,0.0,0.0,66.7,0.1,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,50.0,0.7,27.3,0.3,50.0,0.2,100.0,0.0,0.0,0.2,100.0,47.2
83,Rashard Lewis,MIA,18,12,6,17.7,5.3,24.2,13.4,0.5,1.35,0.28,0.218,0.9,0.3,0.7,0.125,0.8,0.667,1.1,0.2,0.5,44.4,0.2,0.2,75.0,57.9,0.3,26.3,0.1,5.3,0.1,10.5,0.1,10.5,0.6,44.4,3.8,37.7,0.0,0.0,0.4,66.7,0.2,66.7,0.1,100.0,54.1
84,Rasual Butler,IND,11,6,5,6.4,1.7,6.6,4.8,0.3,2.34,0.71,0.26,0.1,0.1,0.2,2.0,2.0,1.0,0.2,0.0,0.0,0.0,0.2,0.2,100.0,100.0,0.1,50.0,0.0,0.0,0.0,0.0,0.1,50.0,0.2,0.0,1.1,40.0,0.3,25.0,0.2,100.0,0.2,0.0,0.2,100.0,56.7
85,Serge Ibaka,OKC,17,10,7,34.2,12.1,39.5,21.4,0.9,1.39,0.25,0.306,2.9,0.5,5.1,0.735,1.667,0.953,1.6,0.5,1.1,47.4,0.2,0.4,50.0,75.0,0.2,10.7,0.1,7.1,0.1,3.6,0.2,10.7,1.2,47.4,4.8,48.7,0.2,40.0,4.8,80.6,0.9,100.0,2.1,63.6,60.9
86,Shane Battier,MIA,16,9,7,12.6,2.3,17.6,9.7,0.4,1.27,0.32,0.132,0.4,0.0,0.2,0.0,0.0,1.333,0.3,0.1,0.3,25.0,0.0,0.0,0.0,40.0,0.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0,1.7,45.0,0.1,100.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
87,Shawn Marion,DAL,7,3,4,27.6,8.4,36.4,23.0,1.0,1.69,0.84,0.231,1.3,2.0,4.7,0.667,0.286,1.0,1.7,0.1,1.3,11.1,0.0,0.0,0.0,16.7,0.3,16.7,0.0,0.0,0.1,8.3,0.0,0.0,0.3,11.1,1.7,20.0,0.3,25.0,4.7,70.0,0.6,40.0,0.9,60.0,44.1
88,Solomon Hill,IND,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Steve Novak,TOR,4,1,3,3.9,0.0,4.8,1.8,0.1,1.38,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Taj Gibson,CHI,5,1,4,30.7,18.2,38.6,27.2,1.1,1.69,0.83,0.472,2.0,3.2,6.8,1.1,0.375,1.029,2.4,1.0,2.0,50.0,0.8,0.8,100.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,16.7,3.0,50.0,2.0,50.0,0.4,50.0,7.0,76.5,1.2,28.6,2.2,80.0,56.1
91,Tayshaun Prince,MEM,7,3,4,16.1,3.0,20.9,16.1,0.8,2.44,0.78,0.144,0.4,1.0,1.1,0.0,0.0,0.25,0.6,0.1,0.1,100.0,0.0,0.0,0.0,50.0,0.3,50.0,0.0,0.0,0.1,25.0,0.0,0.0,0.3,100.0,1.6,38.5,0.9,42.9,0.3,25.0,0.0,0.0,0.0,0.0,40.4
92,Terrence Jones,HOU,6,2,4,23.0,7.7,30.8,15.3,1.0,1.95,1.05,0.249,1.7,1.3,5.2,0.0,1.0,0.677,1.7,0.7,1.0,66.7,0.2,0.3,50.0,90.0,0.5,30.0,0.0,0.0,0.0,0.0,0.2,10.0,1.5,66.7,0.3,33.3,0.0,0.0,3.5,44.4,1.3,57.1,0.0,0.0,51.3
93,Terrence Ross,TOR,7,3,4,22.5,5.0,19.6,14.3,0.8,2.34,1.65,0.255,0.0,0.0,0.1,0.0,0.0,2.0,3.0,0.9,1.7,50.0,0.1,0.3,50.0,61.9,0.6,19.0,0.3,9.5,0.3,9.5,0.1,4.8,1.9,50.0,1.7,19.0,0.6,16.7,0.3,100.0,0.0,0.0,0.0,0.0,34.0
94,Thomas Robinson,POR,11,5,6,11.0,2.9,12.6,7.1,0.4,1.67,0.62,0.23,1.7,0.5,2.3,0.368,0.0,0.48,0.6,0.1,0.4,25.0,0.2,0.2,100.0,71.4,0.2,28.6,0.0,0.0,0.0,0.0,0.1,14.3,0.5,25.0,0.2,25.0,0.4,33.3,1.1,45.5,0.0,0.0,0.6,42.9,41.9
95,Tim Duncan,SAS,23,16,7,32.7,16.3,58.4,38.1,1.6,1.69,0.52,0.278,7.3,6.1,9.3,0.315,0.667,0.873,0.6,0.1,0.3,25.0,0.3,0.3,100.0,71.4,0.0,7.1,0.1,14.3,0.0,0.0,0.1,21.4,0.4,25.0,1.7,34.5,1.0,50.0,8.1,64.7,4.1,47.4,2.3,43.1,52.3
96,Trevor Ariza,WAS,11,6,5,37.0,13.6,45.8,31.4,1.6,2.05,1.16,0.298,0.5,0.5,2.1,0.0,0.667,0.957,2.7,0.6,1.2,53.8,0.3,0.5,50.0,60.0,1.2,43.3,0.0,0.0,0.1,3.3,0.3,10.0,1.6,53.8,6.8,48.1,1.1,31.3,2.0,66.7,0.4,100.0,0.0,0.0,59.7
97,Trevor Booker,WAS,9,6,3,16.2,3.3,23.7,10.8,0.6,1.5,0.41,0.141,2.1,0.4,2.7,0.053,0.0,0.667,0.7,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,66.7,0.0,0.0,1.8,60.0,0.0,0.0,0.1,0.0,44.8
98,Tyler Hansbrough,TOR,3,0,3,9.7,2.3,9.7,3.0,0.2,1.52,0.45,0.241,0.3,0.3,1.3,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,50.0,0.0,0.0,0.3,0.0,33.3
99,Udonis Haslem,MIA,16,10,6,10.5,2.5,11.7,5.6,0.3,1.34,0.17,0.214,0.9,0.0,1.6,0.4,0.0,0.769,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,33.3,0.0,0.0,1.3,57.1,0.0,0.0,0.4,66.7,45.9
100,Victor Claver,POR,2,0,2,3.6,0.0,9.5,4.0,0.2,1.45,0.11,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Vince Carter,DAL,7,3,4,27.1,12.6,39.1,25.4,1.6,2.4,1.35,0.321,1.1,1.3,1.0,0.5,0.556,0.571,7.0,1.0,2.9,35.0,1.1,1.4,80.0,44.9,1.7,24.5,0.7,10.2,0.6,8.2,0.7,10.2,3.1,35.0,6.0,53.6,2.4,36.8,0.6,100.0,0.7,40.0,0.6,50.0,56.6
102,Zach Randolph,MEM,6,3,3,39.1,18.2,60.7,43.2,2.3,2.29,0.9,0.299,3.2,18.2,10.2,0.421,0.404,0.852,1.2,0.5,1.0,50.0,0.0,0.3,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,14.3,1.0,50.0,1.7,31.3,1.3,26.7,8.7,54.1,7.3,32.0,1.3,44.4,40.4
