,Player,G,MP,USG%
123,Jamal Crawford,65,2479,22.8
382,Jamario Moon,80,2068,12.4
399,Jameer Nelson,42,1309,23.2
306,James Jones,40,630,13.0
439,James Posey,75,2140,15.0
508,James Singleton,62,884,15.1
577,James White,4,11,33.8
166,Jared Dudley,68,1155,14.6
292,Jared Jeffries,56,1310,12.5
277,Jarrett Jack,82,2716,18.5
112,Jarron Collins,26,201,10.9
239,Jarvis Hayes,74,1832,16.6
113,Jason Collins,31,422,10.1
232,Jason Hart,39,348,16.5
310,Jason Kapono,80,1831,17.4
311,Jason Kidd,81,2886,13.5
353,Jason Maxiell,78,1408,14.7
458,Jason Richardson,72,2410,21.5
534,Jason Terry,74,2491,25.5
543,Jason Thompson,82,2303,19.3
127,Javaris Crittenton,63,1174,15.8
583,Jawad Williams,10,20,30.7
187,Jeff Foster,74,1828,12.0
221,Jeff Green,78,2873,21.2
462,Jeremy Richardson,12,93,27.1
414,Jermaine O'Neal,68,2027,23.2
141,Jermareo Davidson,14,111,18.3
281,Jerome James,2,10,39.2
521,Jerry Stackhouse,10,162,20.4
46,Jerryd Bayless,53,655,20.9
404,Joakim Noah,80,1938,12.3
9,Joe Alexander,59,716,20.9
126,Joe Crawford,2,23,20.6
296,Joe Johnson,79,3124,26.6
512,Joe Smith,57,1102,16.2
21,Joel Anthony,65,1048,8.0
445,Joel Przybilla,82,1952,10.2
160,Joey Dorsey,3,6,15.5
215,Joey Graham,78,1541,18.7
434,Johan Petro,49,559,17.2
480,John Salmons,79,2959,21.3
179,Jordan Farmar,65,1192,19.6
67,Josh Boone,62,995,13.3
259,Josh Howard,52,1663,26.7
364,Josh McRoberts,33,279,15.7
441,Josh Powell,60,703,19.5
515,Josh Smith,69,2421,22.6
98,José Calderón,68,2333,16.9
158,Juan Dixon,50,816,19.1
599,Julian Wright,54,772,18.1
260,Juwan Howard,42,472,18.8
479,Kareem Rush,25,199,16.0
62,Keith Bogans,65,1272,14.0
31,Kelenna Azubuike,74,2375,18.7
431,Kendrick Perkins,76,2253,14.8
536,Kenny Thomas,8,62,6.5
348,Kenyon Martin,66,2111,17.7
173,Kevin Durant,74,2885,28.3
198,Kevin Garnett,57,1772,23.4
331,Kevin Love,81,2048,21.0
350,Kevin Martin,51,1947,27.4
423,Kevin Ollie,50,850,12.0
159,Keyon Dooling,77,2074,17.4
252,Kirk Hinrich,51,1339,18.1
92,Kobe Bryant,82,2960,32.2
317,Kosta Koufos,48,565,18.5
266,Kris Humphries,29,265,20.7
537,Kurt Thomas,79,1404,12.6
88,Kwame Brown,58,999,13.0
316,Kyle Korver,78,1874,16.9
332,Kyle Lowry,77,1679,18.1
568,Kyle Weaver,56,1166,12.9
183,Kyrylo Fesenko,21,156,15.6
8,LaMarcus Aldridge,81,3004,23.7
420,Lamar Odom,78,2316,18.1
263,Larry Hughes,55,1479,20.6
282,LeBron James,81,3054,33.8
36,Leandro Barbosa,70,1705,24.2
440,Leon Powe,70,1227,20.2
314,Linas Kleiza,82,1824,20.0
267,Lindsey Hunter,28,266,17.3
298,Linton Johnson,10,55,10.5
600,Lorenzen Wright,17,125,14.9
17,Lou Amundson,76,1044,15.1
584,Lou Williams,81,1919,27.7
356,Luc Mbah a Moute,82,2114,14.3
488,Luis Scola,82,2488,19.3
464,Luke Ridnour,72,2033,18.0
564,Luke Walton,65,1166,15.1
146,Luol Deng,49,1665,20.0
241,Luther Head,32,498,16.8
42,Maceo Baston,27,217,14.0
10,Malik Allen,49,579,15.4
225,Malik Hairston,15,155,20.0
472,Malik Rose,38,470,17.7
206,Manu Ginóbili,44,1181,27.2
199,Marc Gasol,82,2521,18.3
214,Marcin Gortat,63,794,13.5
48,Marco Belinelli,42,882,19.3
33,Marcus Banks,22,206,17.9
99,Marcus Camby,62,1925,15.8
585,Marcus Williams,9,54,18.7
114,Mardy Collins,48,890,16.6
108,Mario Chalmers,82,2626,16.3
