,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
339,Mike Miller,.569,.153,.056,.101,.260,.431,.677,.946,.009,.176
404,Mike Penberthy,.374,.117,.045,.077,.135,.626,.568,.909,.000,.050
470,Mike Smith,.695,.305,.153,.034,.203,.305,.813,.667,.017,.222
352,Mikki Moore,.996,.504,.209,.142,.142,.004,.583,,.198,.000
396,Milt Palacio,.865,.449,.131,.075,.210,.135,.430,.750,.004,.250
436,Mitch Richmond,.736,.099,.099,.183,.357,.264,.606,.800,.004,.135
543,Monty Williams,.964,.599,.168,.082,.115,.036,.584,1.000,.025,.385
374,Moochie Norris,.785,.303,.138,.087,.257,.215,.239,.840,.000,.292
35,Mookie Blaylock,.719,.152,.077,.139,.351,.281,.377,.767,.000,.258
411,Morris Peterson,.755,.318,.103,.101,.233,.245,.630,.905,.021,.400
40,Muggsy Bogues,.500,.000,.000,.000,.500,.500,,,.000,1.000
345,Nazr Mohammed,.997,.485,.266,.198,.049,.003,.636,,.089,.000
12,Nick Anderson,.316,.070,.018,.105,.123,.684,.250,.800,.000,.128
514,Nick Van Exel,.678,.165,.202,.119,.192,.322,.246,.644,.000,.078
145,Obinna Ekezie,1.000,.333,.321,.235,.111,.000,.625,,.049,
417,Olden Polynice,.998,.429,.386,.164,.019,.002,.650,,.027,.000
393,Olumide Oyedeji,1.000,.703,.270,.027,.000,.000,.611,,.027,
202,Othella Harrington,.994,.363,.420,.156,.055,.006,.636,,.037,.000
509,Otis Thorpe,1.000,.382,.176,.160,.282,.000,.712,,.053,
58,P.J. Brown,.993,.357,.114,.237,.285,.007,.711,,.041,.250
175,Pat Garrity,.611,.094,.071,.128,.318,.389,.643,.969,.005,.219
155,Patrick Ewing,.997,.298,.351,.243,.105,.003,.626,,.018,.500
325,Paul McPherson,.944,.398,.204,.227,.116,.056,.495,.500,.120,.250
414,Paul Pierce,.746,.261,.115,.147,.223,.254,.576,.891,.014,.190
484,Peja Stojaković,.697,.220,.134,.116,.228,.303,.605,.840,.012,.264
458,Pepe Sánchez,.964,.143,.179,.286,.357,.036,.778,,.000,.000
152,Pervis Ellison,1.000,.429,.143,.429,.000,.000,.500,,.000,
22,Player,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,%3PA
253,Popeye Jones,.961,.320,.222,.209,.209,.039,.627,1.000,.000,.500
435,Quentin Richardson,.712,.375,.189,.070,.078,.288,.522,.960,.053,.146
279,Quincy Lewis,.797,.220,.163,.106,.309,.203,.829,.889,.000,.400
274,Raef LaFrentz,.829,.437,.140,.079,.172,.171,.693,.961,.103,.151
8,Rafer Alston,.643,.179,.107,.107,.250,.357,.455,1.000,.000,.233
28,Raja Bell,.571,.143,.286,.000,.143,.429,.000,1.000,.000,.333
59,Randy Brown,.987,.224,.072,.101,.591,.013,.770,,.008,.000
281,Randy Livingston,.500,.000,.000,.000,.500,.500,,,.000,.000
280,Rashard Lewis,.679,.245,.174,.110,.150,.321,.723,.992,.067,.225
526,Rasheed Wallace,.862,.252,.205,.180,.226,.138,.727,.981,.086,.185
371,Rasho Nesterović,.997,.295,.464,.169,.069,.003,.653,,.034,.000
7,Ray Allen,.643,.235,.086,.183,.140,.357,.437,.856,.027,.270
