,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
169,Bob Sura,59,3.5,8.3,1.3,4.2,5.2,1.1,0.1,2.4,2.8
119,Bobby Jackson,0,4.4,10.2,0.9,2.5,2.4,0.6,0.1,1.1,2.3
64,Bobby Simmons,74,6.3,13.6,1.7,4.2,2.7,1.4,0.2,1.8,3.0
162,Bonzi Wells,19,3.9,8.9,0.7,2.6,1.2,1.2,0.4,1.3,2.4
386,Boris Diaw,25,1.9,4.5,0.8,1.8,2.3,0.6,0.3,1.3,1.9
265,Boštjan Nachbar,6,2.3,5.8,0.3,2.2,1.0,0.4,0.2,1.0,2.6
72,Brad Miller,56,5.7,10.9,2.5,6.8,3.9,1.2,1.2,1.5,3.2
612,Brandin Knight,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
483,Brandon Hunter,0,1.2,2.4,0.8,1.4,0.1,0.1,0.2,0.7,1.4
197,Brendan Haywood,68,3.5,6.3,3.0,3.9,0.8,0.8,1.7,1.4,3.2
248,Brent Barry,8,2.4,5.7,0.4,2.0,2.2,0.5,0.2,0.8,1.5
173,Brevin Knight,61,3.8,8.9,0.3,2.3,9.0,2.0,0.1,2.2,2.9
202,Brian Cardinal,16,2.8,7.4,1.1,2.8,2.0,1.5,0.3,1.4,3.0
303,Brian Cook,0,2.4,5.9,0.9,2.1,0.5,0.3,0.4,0.4,1.9
438,Brian Grant,8,1.5,3.0,1.5,2.3,0.5,0.3,0.3,0.6,2.5
311,Brian Scalabrine,14,2.4,6.1,1.5,3.0,1.6,0.6,0.3,1.2,2.1
383,Brian Skinner,23,2.1,4.2,2.2,3.5,0.9,0.6,1.0,0.8,2.1
541,Britton Johnsen,1,1.0,3.7,0.8,0.8,0.7,0.2,0.0,0.5,1.7
218,Bruce Bowen,82,3.1,7.3,0.6,2.9,1.5,0.7,0.5,0.7,2.1
589,Bruno Šundov,0,0.5,1.8,0.3,0.3,0.1,0.1,0.1,0.3,0.8
412,Bryon Russell,2,1.4,3.6,0.7,1.7,1.0,0.6,0.2,0.5,1.9
404,Calbert Cheaney,5,2.1,4.8,0.6,1.7,1.2,0.3,0.3,0.6,1.7
519,Calvin Booth,1,1.0,2.1,0.6,1.5,0.2,0.3,0.5,0.3,1.5
280,Carlos Arroyo,16,2.4,6.1,0.4,1.1,4.0,0.6,0.1,1.5,2.0
49,Carlos Boozer,51,7.1,13.6,2.8,6.2,2.8,0.8,0.5,2.7,3.5
433,Carlos Delfino,4,1.4,3.9,0.4,1.4,1.3,0.7,0.2,0.8,1.5
25,Carmelo Anthony,75,7.1,16.4,1.9,3.8,2.6,0.9,0.4,3.0,3.1
73,Caron Butler,77,5.7,12.9,1.9,3.9,1.9,1.4,0.3,1.6,2.8
290,Casey Jacobsen,1,2.0,4.9,0.4,1.6,1.3,0.4,0.1,0.8,1.2
354,Charlie Ward,13,1.7,5.5,0.4,2.4,3.1,1.1,0.0,1.3,1.6
63,Chauncey Billups,80,5.1,11.4,0.6,2.8,5.8,1.0,0.1,2.3,2.4
234,Chris Andersen,2,2.9,5.3,2.0,4.1,1.1,0.2,1.5,1.0,2.1
60,Chris Bosh,81,5.8,12.4,2.4,6.5,1.9,0.9,1.4,2.3,2.8
326,Chris Duhon,73,2.1,6.0,0.3,2.3,4.9,1.0,0.0,1.5,2.5
201,Chris Kaman,50,3.9,7.9,2.1,4.6,1.2,0.4,1.1,1.8,2.9
181,Chris Mihm,75,3.7,7.4,2.6,4.1,0.7,0.2,1.4,1.5,3.2
33,Chris Webber,67,8.3,19.1,1.9,7.2,4.7,1.4,0.8,2.7,3.2
224,Chris Wilcox,25,3.1,6.1,1.2,3.1,0.7,0.5,0.4,1.4,2.4
355,Christian Laettner,0,2.2,3.8,0.7,1.9,0.8,0.7,0.3,0.6,1.6
94,Chucky Atkins,82,4.7,11.1,0.4,2.0,4.4,0.9,0.0,1.8,2.2
485,Clarence Weatherspoon,18,1.2,2.9,0.9,2.2,0.4,0.2,0.2,0.4,1.9
242,Clifford Robinson,29,2.8,7.4,0.8,2.2,1.5,0.9,0.7,0.9,2.5
18,Corey Maggette,60,6.4,14.9,1.1,4.9,3.4,1.1,0.1,3.0,2.9
163,Corliss Williamson,9,3.8,8.1,1.4,2.2,1.1,0.5,0.2,1.2,3.0
505,Corsley Edwards,0,1.0,3.1,1.2,1.3,0.3,0.3,0.4,0.2,1.9
480,Cory Alexander,1,1.0,3.1,0.5,1.3,2.3,0.6,0.1,1.2,1.8
489,Curtis Borchardt,23,1.1,2.6,1.3,2.1,0.7,0.1,0.5,0.8,2.4
53,Cuttino Mobley,64,6.2,14.1,0.7,2.8,2.8,1.1,0.5,2.0,2.3
595,D.J. Mbenga,1,0.4,0.9,0.2,0.3,0.0,0.0,0.3,0.3,0.9
408,Dahntay Jones,7,1.6,3.7,0.2,1.1,0.4,0.3,0.2,0.6,1.6
428,Dajuan Wagner,0,1.6,5.0,0.0,0.2,1.2,0.5,0.0,0.8,1.4
