,Roster,LE_Component_1,LE_Component_2,Win_Percentage,Avg Height,Standard Deviation of Roster Height,Season,Distance
227,2008SAS,0.000847173767980043,0.00012761269608968677,0.6829268292682927,79.5,3.26,2008,0.0004873932320348649
228,2008SEA,0.0029506513987456037,0.0009389606982915343,0.24390243902439024,80.1,3.5,2008,0.001944806048518569
229,2008TOR,0.0024952225106011287,0.0011389393733946106,0.5,80.0,3.69,2008,0.0018170809419978697
230,2008UTA,0.0022352028928587547,-0.00327598336142768,0.6585365853658537,80.2,2.28,2008,-0.0005203902342844626
231,2008WAS,0.002770094309863248,-0.0022644311172063908,0.524390243902439,80.3,2.52,2008,0.0002528315963284287
232,2009ATL,-2.8414733183064265e-05,0.00011987695595758053,0.573170731707317,79.2,3.13,2009,4.573111138725813e-05
233,2009BOS,-0.00035395643713014425,0.0011644647614941991,0.7560975609756098,79.0,3.41,2009,0.00040525416218202743
234,2009CHI,-0.0002048863546266113,-0.0011349865323302157,0.5,79.3,2.79,2009,-0.0006699364434784135
235,2009CLE,0.0021590224379385158,0.0014818713802916144,0.8048780487804879,80.0,4.01,2009,0.0018204469091150652
236,2009DAL,8.263099905902987e-05,0.0019458618430191383,0.6097560975609756,79.0,3.96,2009,0.0010142464210390841
237,2009DEN,-0.0016838517618093787,0.0016002714000497192,0.6585365853658537,78.6,3.53,2009,-4.179018087982977e-05
238,2009DET,0.0015773780395486694,-0.00020195177217221602,0.47560975609756095,79.7,3.19,2009,0.0006877131336882267
239,2009GSW,-0.0011938521548744486,-0.0015723705024500878,0.35365853658536583,79.0,2.94,2009,-0.0013831113286622682
240,2009HOU,0.0003244988097540629,0.0007810132633266971,0.6463414634146342,79.6,4.35,2009,0.00055275603654038
241,2009IND,0.0014841005320070696,0.004582564335339771,0.43902439024390244,79.8,4.61,2009,0.0030333324336734202
242,2009LAC,0.0036518785697751016,-1.914441290374914e-05,0.23170731707317074,80.5,3.26,2009,0.0018163670784356763
243,2009LAL,0.002491747037826552,0.0008618486826739167,0.7926829268292683,80.0,3.53,2009,0.0016767978602502344
244,2009MEM,-0.0004779820408921556,0.0025605737374856555,0.2926829268292683,78.9,3.98,2009,0.00104129584829675
245,2009MIA,-0.0012015661131958685,-0.0007009453466889061,0.524390243902439,78.9,2.91,2009,-0.0009512557299423874
246,2009MIL,0.001900149463273331,0.0009632155551446235,0.4146341463414634,80.0,3.72,2009,0.0014316825092089772
247,2009MIN,-0.0010753160088142065,-0.0017059947816312757,0.2926829268292683,78.8,2.72,2009,-0.001390655395222741
248,2009NJN,0.0017659945928220787,-0.0008326199343182592,0.4146341463414634,80.0,3.29,2009,0.0004666873292519097
249,2009NOH,0.002983545070397312,0.0005955385728948542,0.5975609756097561,80.1,3.5,2009,0.0017895418216460832
250,2009NYK,-0.0010869993809096668,0.002371608129408555,0.3902439024390244,78.5,4.05,2009,0.000642304374249444
251,2009OKC,0.0022369254010117076,-0.0003158516972613786,0.2804878048780488,80.0,3.23,2009,0.0009605368518751645
252,2009ORL,0.00037543508625522434,0.0022047271673319305,0.7195121951219512,79.4,3.81,2009,0.0012900811267935774
253,2009PHI,-0.001279563255143132,-0.00029075341404431005,0.5,78.9,3.07,2009,-0.000785158334593721
254,2009PHO,-0.0007547604675000696,-0.0012374990021793446,0.5609756097560976,79.3,3.09,2009,-0.000996129734839707
255,2009POR,0.004451950402982078,-0.0005154030702506544,0.6585365853658537,80.8,3.52,2009,0.0019682736663657117
256,2009SAC,0.0028165896872413606,-1.2417775725858902e-05,0.2073170731707317,80.3,3.6,2009,0.001402085955757751
257,2009SAS,-0.0005906248925264049,-0.002433517102321513,0.6585365853658537,79.2,2.61,2009,-0.0015120709974239589
